Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),00: All Day (12am-12am),3887,0.126,0.119,0.114,0.174,0.135,0.101,0.066,0.076,0.089,0.083,0.251,0.249,0.243,0.174,0.859,0.043,0.003,0.059,0.000,0.017,0.019,0.058,0.344,0.656,0.136,0.272,0.001,0.160,0.839
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),03: 2am (2am-3am),1,0.114,0.068,0.152,0.265,0.170,0.048,0.039,0.073,0.071,0.154,0.231,0.264,0.183,0.168,0.841,0.041,0.001,0.079,0.000,0.015,0.023,0.025,0.285,0.715,0.095,0.234,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),04: 3am (3am-4am),91,0.147,0.121,0.115,0.172,0.137,0.096,0.063,0.072,0.077,0.084,0.250,0.247,0.238,0.181,0.860,0.038,0.002,0.063,0.000,0.018,0.019,0.060,0.324,0.676,0.132,0.253,0.000,0.274,0.726
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),05: 4am (4am-5am),164,0.121,0.109,0.114,0.168,0.133,0.101,0.068,0.082,0.104,0.074,0.239,0.239,0.251,0.197,0.867,0.038,0.003,0.060,0.000,0.014,0.018,0.051,0.342,0.658,0.134,0.272,0.002,0.334,0.664
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),06: 5am (5am-6am),110,0.118,0.117,0.115,0.172,0.140,0.102,0.068,0.079,0.089,0.076,0.241,0.247,0.255,0.181,0.856,0.047,0.003,0.057,0.001,0.017,0.019,0.059,0.342,0.658,0.137,0.270,0.000,0.308,0.692
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),07: 6am (6am-7am),91,0.131,0.113,0.114,0.169,0.134,0.099,0.067,0.083,0.090,0.079,0.242,0.237,0.257,0.185,0.842,0.054,0.002,0.066,0.000,0.016,0.020,0.052,0.347,0.653,0.133,0.276,0.000,0.272,0.728
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),08: 7am (7am-8am),128,0.120,0.123,0.114,0.170,0.136,0.102,0.070,0.079,0.086,0.084,0.243,0.247,0.248,0.178,0.831,0.057,0.003,0.074,0.000,0.017,0.018,0.055,0.338,0.662,0.137,0.263,0.000,0.279,0.721
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),09: 8am (8am-9am),220,0.111,0.112,0.110,0.176,0.132,0.104,0.072,0.083,0.100,0.076,0.244,0.250,0.245,0.185,0.864,0.035,0.003,0.061,0.000,0.018,0.019,0.061,0.356,0.644,0.139,0.283,0.000,0.275,0.725
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),10: 9am (9am-10am),344,0.117,0.112,0.112,0.172,0.138,0.104,0.067,0.079,0.099,0.078,0.240,0.251,0.250,0.181,0.872,0.036,0.003,0.053,0.001,0.017,0.018,0.058,0.356,0.644,0.137,0.287,0.000,0.217,0.783
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),11: 10am (10am-11am),337,0.123,0.118,0.118,0.175,0.138,0.100,0.066,0.073,0.089,0.084,0.250,0.252,0.242,0.172,0.870,0.040,0.003,0.054,0.000,0.015,0.018,0.054,0.330,0.670,0.130,0.259,0.000,0.163,0.837
