Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-10 min (percent),Travel Time 10-20 min (percent),Travel Time 20-30 min (percent),Travel Time 30-40 min (percent),Travel Time 40-50 min (percent),Travel Time 50-60 min (percent),Travel Time 60-70 min (percent),Travel Time 70-80 min (percent),Travel Time 80-90 min (percent),Travel Time 90-100 min (percent),Travel Time 100-110 min (percent),Travel Time 110-120 min (percent),Travel Time 120-130 min (percent),Travel Time 130-140 min (percent),Travel Time 140-150 min (percent),Travel Time 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),00: All Day (12am-12am),3887,2499,2560,13.8,13.9,18,17,3.152,0.011,0.134,0.240,0.218,0.141,0.084,0.052,0.033,0.023,0.017,0.012,0.008,0.006,0.004,0.004,0.013,0.001,0.003,0.154,0.455,0.226,0.077,0.023,0.016,0.021,0.007,0.003,0.003,0.001,0.010,0.124,0.583,0.222,0.061,0.008,0.002,0.000,0.000,0.263,0.403,0.144,0.092,0.040,0.058
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),03: 2am (2am-3am),1,1554,1554,6.4,6.4,13,13,2.900,0.000,0.500,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.500,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),04: 3am (3am-4am),91,1894,1910,10.6,10.8,19,19,2.363,0.004,0.204,0.311,0.258,0.140,0.039,0.014,0.011,0.004,0.004,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.151,0.494,0.254,0.050,0.029,0.011,0.007,0.004,0.000,0.000,0.000,0.000,0.068,0.516,0.319,0.090,0.007,0.000,0.000,0.000,0.290,0.610,0.057,0.036,0.007,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),05: 4am (4am-5am),164,2235,2254,14.6,14.8,21,21,2.258,0.009,0.130,0.292,0.226,0.166,0.060,0.043,0.034,0.019,0.017,0.002,0.000,0.000,0.000,0.000,0.002,0.002,0.000,0.077,0.457,0.249,0.122,0.036,0.019,0.023,0.013,0.000,0.000,0.000,0.002,0.049,0.457,0.354,0.119,0.019,0.000,0.002,0.000,0.367,0.546,0.066,0.013,0.006,0.002
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),06: 5am (5am-6am),110,2254,2291,14.4,14.7,21,21,2.452,0.007,0.123,0.269,0.264,0.141,0.076,0.029,0.025,0.029,0.022,0.011,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.087,0.415,0.303,0.101,0.018,0.018,0.040,0.018,0.000,0.000,0.000,0.000,0.043,0.473,0.329,0.148,0.007,0.000,0.000,0.000,0.361,0.480,0.079,0.047,0.004,0.029
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),07: 6am (6am-7am),91,2463,2515,14.5,14.7,20,19,2.771,0.015,0.092,0.251,0.210,0.184,0.092,0.044,0.037,0.015,0.011,0.026,0.011,0.004,0.000,0.004,0.004,0.000,0.000,0.070,0.485,0.221,0.136,0.026,0.022,0.026,0.007,0.000,0.000,0.000,0.007,0.066,0.538,0.257,0.132,0.007,0.000,0.000,0.000,0.272,0.482,0.158,0.037,0.018,0.033
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),08: 7am (7am-8am),128,2637,2666,16.6,16.5,20,20,2.727,0.008,0.120,0.209,0.217,0.168,0.063,0.084,0.038,0.035,0.024,0.005,0.008,0.000,0.005,0.000,0.016,0.000,0.003,0.084,0.427,0.274,0.111,0.035,0.022,0.014,0.003,0.000,0.008,0.000,0.019,0.076,0.536,0.293,0.063,0.024,0.008,0.000,0.000,0.323,0.462,0.122,0.052,0.022,0.019
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),09: 8am (8am-9am),220,2791,2823,17.2,17.0,19,19,2.614,0.005,0.096,0.218,0.192,0.171,0.089,0.062,0.041,0.046,0.028,0.021,0.008,0.003,0.002,0.005,0.013,0.000,0.000,0.083,0.454,0.229,0.106,0.026,0.026,0.052,0.003,0.005,0.003,0.002,0.011,0.106,0.529,0.221,0.130,0.011,0.003,0.000,0.000,0.399,0.393,0.115,0.046,0.021,0.026
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),10: 9am (9am-10am),344,2691,2716,14.8,14.9,18,18,2.710,0.007,0.092,0.206,0.249,0.154,0.092,0.058,0.045,0.025,0.019,0.015,0.013,0.005,0.006,0.003,0.011,0.001,0.001,0.081,0.512,0.202,0.099,0.032,0.021,0.022,0.011,0.004,0.007,0.001,0.006,0.128,0.557,0.228,0.080,0.005,0.002,0.000,0.000,0.343,0.442,0.114,0.057,0.022,0.022
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),11: 10am (10am-11am),337,2665,2724,14.9,14.9,17,17,2.954,0.009,0.103,0.225,0.214,0.134,0.105,0.073,0.032,0.030,0.024,0.013,0.009,0.005,0.009,0.002,0.013,0.000,0.002,0.133,0.462,0.212,0.080,0.033,0.029,0.025,0.005,0.006,0.001,0.000,0.012,0.144,0.567,0.207,0.072,0.009,0.001,0.000,0.000,0.309,0.409,0.111,0.080,0.035,0.056
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),12: 11am (11am-12noon),338,2777,2801,16.0,15.6,18,17,3.280,0.015,0.130,0.220,0.198,0.134,0.083,0.063,0.036,0.029,0.015,0.021,0.013,0.011,0.002,0.009,0.021,0.000,0.002,0.181,0.427,0.196,0.088,0.023,0.013,0.029,0.012,0.006,0.005,0.004,0.014,0.134,0.574,0.220,0.065,0.007,0.000,0.000,0.000,0.283,0.300,0.204,0.084,0.050,0.079
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),13: 12pm (12noon-1pm),330,2892,2897,18.2,17.6,18,18,3.280,0.013,0.135,0.231,0.208,0.105,0.076,0.052,0.033,0.026,0.026,0.019,0.010,0.015,0.014,0.008,0.029,0.001,0.002,0.193,0.408,0.195,0.072,0.017,0.015,0.040,0.013,0.008,0.011,0.002,0.023,0.115,0.601,0.194,0.069,0.017,0.004,0.000,0.000,0.302,0.308,0.138,0.109,0.068,0.075
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),14: 1pm (1pm-2pm),373,2348,2411,11.5,11.7,16,16,3.322,0.016,0.165,0.259,0.203,0.130,0.075,0.045,0.027,0.017,0.020,0.011,0.009,0.007,0.001,0.004,0.011,0.002,0.006,0.208,0.486,0.184,0.050,0.014,0.022,0.012,0.007,0.000,0.000,0.000,0.009,0.153,0.654,0.158,0.028,0.006,0.001,0.000,0.000,0.207,0.376,0.152,0.144,0.043,0.078
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),15: 2pm (2pm-3pm),315,2418,2535,11.9,12.4,16,16,3.498,0.009,0.157,0.256,0.211,0.120,0.080,0.048,0.038,0.027,0.011,0.009,0.008,0.005,0.002,0.003,0.016,0.000,0.002,0.220,0.439,0.214,0.068,0.017,0.010,0.014,0.001,0.003,0.001,0.001,0.010,0.155,0.630,0.186,0.022,0.006,0.001,0.000,0.000,0.192,0.354,0.186,0.143,0.055,0.070
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),16: 3pm (3pm-4pm),273,2367,2454,11.8,12.0,16,16,3.696,0.017,0.170,0.233,0.206,0.141,0.083,0.050,0.020,0.018,0.015,0.009,0.011,0.007,0.003,0.005,0.012,0.003,0.005,0.222,0.420,0.247,0.045,0.024,0.003,0.007,0.007,0.004,0.003,0.003,0.007,0.151,0.634,0.182,0.024,0.005,0.003,0.000,0.001,0.178,0.356,0.178,0.136,0.077,0.075
