Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),00: All Day (12am-12am),3887,2499,2560,13.8,13.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),03: 2am (2am-3am),1,1554,1554,6.4,6.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),04: 3am (3am-4am),91,1894,1910,10.6,10.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),05: 4am (4am-5am),164,2235,2254,14.6,14.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),06: 5am (5am-6am),110,2254,2291,14.4,14.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),07: 6am (6am-7am),91,2463,2515,14.5,14.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),08: 7am (7am-8am),128,2637,2666,16.6,16.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),09: 8am (8am-9am),220,2791,2823,17.2,17.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),10: 9am (9am-10am),344,2691,2716,14.8,14.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),11: 10am (10am-11am),337,2665,2724,14.9,14.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),12: 11am (11am-12noon),338,2777,2801,16.0,15.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),13: 12pm (12noon-1pm),330,2892,2897,18.2,17.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),14: 1pm (1pm-2pm),373,2348,2411,11.5,11.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),15: 2pm (2pm-3pm),315,2418,2535,11.9,12.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),16: 3pm (3pm-4pm),273,2367,2454,11.8,12.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),17: 4pm (4pm-5pm),233,2228,2343,10.1,11.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),18: 5pm (5pm-6pm),214,2480,2594,13.9,14.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),19: 6pm (6pm-7pm),180,2220,2350,10.6,11.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),20: 7pm (7pm-8pm),110,2214,2287,10.2,10.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),21: 8pm (8pm-9pm),13,2107,2218,12.7,13.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),22: 9pm (9pm-10pm),19,1928,2067,11.5,12.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),23: 10pm (10pm-11pm),3,1868,2279,10.7,12.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),24: 11pm (11pm-12am),1,1848,3419,6.5,21.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),00: All Day (12am-12am),3887,2547,2585,14.2,14.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),04: 3am (3am-4am),130,2026,2026,12.1,12.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),05: 4am (4am-5am),176,2226,2282,12.4,12.8
