Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),00: All Day (12am-12am),3255,0.133,0.124,0.117,0.174,0.135,0.098,0.063,0.072,0.084,0.087,0.266,0.248,0.231,0.168,0.865,0.039,0.003,0.055,0.000,0.019,0.019,0.058,0.332,0.668,0.131,0.261,0.002,0.185,0.813
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),01: 12am (12am-1am),4,0.150,0.118,0.096,0.149,0.164,0.100,0.050,0.067,0.106,0.067,0.234,0.248,0.265,0.186,0.894,0.042,0.001,0.032,0.000,0.019,0.012,0.028,0.342,0.658,0.111,0.290,0.000,0.310,0.690
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),02: 1am (1am-2am),2,0.133,0.168,0.204,0.135,0.146,0.130,0.030,0.029,0.025,0.065,0.287,0.296,0.223,0.129,0.974,0.001,0.006,0.003,0.000,0.013,0.003,0.010,0.327,0.673,0.063,0.292,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),03: 2am (2am-3am),3,0.129,0.138,0.121,0.244,0.105,0.097,0.067,0.063,0.036,0.117,0.289,0.284,0.177,0.133,0.868,0.020,0.002,0.065,0.000,0.027,0.018,0.055,0.267,0.733,0.128,0.191,0.000,0.619,0.381
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),04: 3am (3am-4am),26,0.152,0.139,0.130,0.187,0.130,0.094,0.054,0.059,0.055,0.092,0.291,0.249,0.216,0.152,0.921,0.019,0.002,0.035,0.000,0.006,0.017,0.030,0.296,0.704,0.112,0.236,0.000,0.312,0.688
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),05: 4am (4am-5am),250,0.126,0.115,0.112,0.179,0.132,0.102,0.067,0.076,0.091,0.083,0.253,0.241,0.245,0.178,0.878,0.037,0.002,0.049,0.000,0.015,0.019,0.051,0.336,0.664,0.130,0.265,0.000,0.345,0.655
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),06: 5am (5am-6am),190,0.121,0.114,0.107,0.159,0.136,0.103,0.070,0.083,0.107,0.085,0.249,0.228,0.243,0.195,0.845,0.041,0.003,0.072,0.000,0.019,0.020,0.064,0.332,0.668,0.129,0.263,0.001,0.379,0.620
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),07: 6am (6am-7am),36,0.145,0.125,0.115,0.166,0.135,0.101,0.066,0.067,0.080,0.095,0.250,0.225,0.248,0.182,0.837,0.053,0.002,0.061,0.000,0.022,0.025,0.068,0.312,0.688,0.124,0.242,0.000,0.341,0.659
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),08: 7am (7am-8am),41,0.132,0.115,0.130,0.180,0.143,0.099,0.072,0.066,0.063,0.093,0.265,0.253,0.228,0.161,0.829,0.055,0.002,0.068,0.000,0.023,0.023,0.071,0.304,0.696,0.128,0.233,0.007,0.395,0.598
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),09: 8am (8am-9am),67,0.129,0.109,0.107,0.166,0.134,0.100,0.071,0.076,0.108,0.065,0.229,0.236,0.256,0.214,0.873,0.031,0.003,0.057,0.000,0.014,0.022,0.051,0.300,0.700,0.118,0.238,0.005,0.308,0.687
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),10: 9am (9am-10am),143,0.125,0.120,0.118,0.165,0.137,0.104,0.065,0.076,0.090,0.083,0.252,0.252,0.235,0.178,0.868,0.037,0.003,0.056,0.001,0.018,0.017,0.062,0.332,0.668,0.128,0.265,0.005,0.267,0.728
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),11: 10am (10am-11am),256,0.132,0.125,0.114,0.174,0.138,0.101,0.060,0.073,0.083,0.085,0.273,0.258,0.226,0.158,0.885,0.034,0.004,0.045,0.000,0.014,0.018,0.051,0.339,0.661,0.130,0.268,0.001,0.218,0.781
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),12: 11am (11am-12noon),272,0.135,0.136,0.124,0.181,0.132,0.094,0.058,0.066,0.074,0.094,0.280,0.255,0.219,0.152,0.864,0.046,0.003,0.045,0.000,0.023,0.019,0.065,0.332,0.668,0.132,0.263,0.003,0.147,0.850
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),13: 12pm (12noon-1pm),273,0.132,0.127,0.122,0.184,0.138,0.093,0.063,0.065,0.076,0.088,0.277,0.253,0.224,0.158,0.861,0.041,0.005,0.057,0.000,0.018,0.018,0.056,0.337,0.663,0.136,0.261,0.004,0.124,0.872
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),14: 1pm (1pm-2pm),268,0.135,0.130,0.121,0.177,0.135,0.096,0.058,0.068,0.080,0.091,0.269,0.246,0.227,0.167,0.871,0.037,0.003,0.053,0.000,0.019,0.017,0.057,0.328,0.672,0.131,0.259,0.001,0.099,0.900
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),15: 2pm (2pm-3pm),286,0.144,0.130,0.123,0.182,0.135,0.098,0.057,0.064,0.067,0.089,0.280,0.259,0.221,0.151,0.878,0.032,0.004,0.050,0.000,0.018,0.018,0.054,0.322,0.678,0.128,0.253,0.002,0.074,0.924
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),16: 3pm (3pm-4pm),246,0.137,0.127,0.119,0.180,0.130,0.095,0.058,0.069,0.085,0.085,0.278,0.251,0.222,0.164,0.889,0.030,0.004,0.045,0.000,0.014,0.018,0.048,0.343,0.657,0.132,0.273,0.002,0.074,0.924
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),17: 4pm (4pm-5pm),212,0.138,0.119,0.117,0.172,0.138,0.099,0.065,0.071,0.081,0.094,0.266,0.248,0.230,0.162,0.858,0.037,0.003,0.064,0.000,0.020,0.018,0.064,0.330,0.670,0.134,0.253,0.002,0.125,0.873
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),18: 5pm (5pm-6pm),186,0.129,0.121,0.115,0.173,0.138,0.095,0.064,0.073,0.092,0.083,0.251,0.246,0.243,0.177,0.839,0.044,0.003,0.066,0.000,0.026,0.022,0.073,0.333,0.667,0.135,0.261,0.000,0.125,0.875
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),19: 6pm (6pm-7pm),177,0.130,0.127,0.109,0.163,0.131,0.101,0.067,0.079,0.093,0.083,0.264,0.244,0.235,0.174,0.853,0.037,0.003,0.067,0.000,0.019,0.021,0.058,0.344,0.656,0.137,0.272,0.000,0.167,0.833
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),20: 7pm (7pm-8pm),193,0.126,0.120,0.116,0.172,0.137,0.102,0.068,0.074,0.085,0.082,0.268,0.247,0.234,0.169,0.874,0.037,0.004,0.050,0.000,0.017,0.018,0.051,0.341,0.659,0.135,0.268,0.000,0.202,0.798
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),21: 8pm (8pm-9pm),65,0.152,0.133,0.114,0.174,0.139,0.095,0.058,0.065,0.070,0.079,0.287,0.255,0.221,0.158,0.884,0.035,0.003,0.048,0.001,0.013,0.016,0.047,0.331,0.669,0.133,0.259,0.000,0.242,0.758
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),22: 9pm (9pm-10pm),36,0.126,0.119,0.100,0.166,0.115,0.108,0.068,0.088,0.110,0.087,0.238,0.235,0.241,0.199,0.773,0.096,0.003,0.074,0.000,0.032,0.022,0.090,0.321,0.679,0.136,0.250,0.000,0.168,0.832
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),23: 10pm (10pm-11pm),17,0.157,0.132,0.111,0.156,0.132,0.102,0.054,0.084,0.072,0.099,0.235,0.234,0.239,0.193,0.797,0.056,0.019,0.068,0.000,0.035,0.025,0.092,0.310,0.690,0.111,0.252,0.000,0.246,0.754
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),24: 11pm (11pm-12am),7,0.174,0.110,0.109,0.207,0.134,0.084,0.047,0.073,0.062,0.097,0.260,0.215,0.230,0.198,0.781,0.118,0.005,0.041,0.000,0.032,0.023,0.113,0.246,0.754,0.108,0.190,0.000,0.332,0.668
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),00: All Day (12am-12am),2855,0.128,0.121,0.114,0.172,0.133,0.101,0.064,0.076,0.091,0.083,0.260,0.248,0.235,0.174,0.855,0.044,0.004,0.058,0.000,0.019,0.020,0.058,0.331,0.669,0.132,0.259,0.001,0.187,0.812
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),01: 12am (12am-1am),7,0.092,0.086,0.082,0.144,0.181,0.096,0.108,0.086,0.125,0.042,0.296,0.338,0.213,0.111,0.914,0.070,0.002,0.004,0.000,0.002,0.008,0.019,0.467,0.533,0.116,0.429,0.000,0.493,0.507
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),05: 4am (4am-5am),181,0.132,0.120,0.123,0.190,0.123,0.108,0.057,0.069,0.078,0.073,0.252,0.256,0.254,0.165,0.855,0.056,0.002,0.045,0.001,0.020,0.021,0.071,0.313,0.687,0.122,0.248,0.000,0.248,0.752
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),06: 5am (5am-6am),174,0.108,0.128,0.107,0.166,0.133,0.105,0.071,0.086,0.096,0.084,0.265,0.224,0.250,0.177,0.809,0.042,0.003,0.101,0.000,0.021,0.024,0.070,0.315,0.685,0.130,0.253,0.000,0.432,0.568
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),07: 6am (6am-7am),28,0.159,0.138,0.085,0.211,0.174,0.083,0.060,0.040,0.050,0.064,0.305,0.260,0.222,0.149,0.941,0.013,0.002,0.016,0.000,0.014,0.014,0.029,0.287,0.713,0.110,0.230,0.000,0.718,0.282
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),08: 7am (7am-8am),26,0.057,0.073,0.125,0.135,0.160,0.140,0.087,0.100,0.123,0.043,0.183,0.266,0.322,0.186,0.904,0.048,0.000,0.034,0.000,0.004,0.010,0.032,0.435,0.565,0.160,0.363,0.000,0.228,0.772
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),09: 8am (8am-9am),85,0.161,0.145,0.127,0.161,0.129,0.089,0.049,0.063,0.076,0.068,0.222,0.220,0.248,0.242,0.846,0.024,0.001,0.096,0.000,0.015,0.018,0.050,0.267,0.733,0.110,0.208,0.000,0.363,0.637
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),10: 9am (9am-10am),114,0.100,0.117,0.113,0.174,0.138,0.100,0.071,0.081,0.106,0.071,0.259,0.253,0.233,0.184,0.863,0.034,0.002,0.073,0.000,0.010,0.018,0.036,0.361,0.639,0.132,0.292,0.000,0.225,0.775
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),11: 10am (10am-11am),190,0.113,0.109,0.097,0.164,0.126,0.113,0.077,0.091,0.110,0.074,0.259,0.245,0.240,0.182,0.890,0.041,0.005,0.037,0.000,0.007,0.020,0.032,0.352,0.648,0.137,0.282,0.000,0.215,0.785
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),12: 11am (11am-12noon),229,0.136,0.126,0.124,0.173,0.135,0.095,0.063,0.075,0.073,0.105,0.263,0.260,0.230,0.142,0.846,0.047,0.003,0.055,0.000,0.026,0.023,0.084,0.317,0.683,0.124,0.247,0.000,0.138,0.862
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),13: 12pm (12noon-1pm),260,0.131,0.127,0.126,0.186,0.152,0.092,0.061,0.066,0.059,0.092,0.281,0.269,0.215,0.143,0.845,0.052,0.002,0.056,0.000,0.028,0.017,0.074,0.355,0.645,0.139,0.284,0.000,0.116,0.884
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),14: 1pm (1pm-2pm),249,0.127,0.132,0.122,0.181,0.141,0.103,0.055,0.068,0.071,0.097,0.278,0.261,0.202,0.162,0.859,0.049,0.003,0.049,0.000,0.023,0.017,0.055,0.339,0.661,0.141,0.270,0.000,0.182,0.818
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),15: 2pm (2pm-3pm),264,0.150,0.132,0.114,0.174,0.136,0.098,0.054,0.065,0.077,0.096,0.288,0.253,0.213,0.150,0.859,0.035,0.004,0.056,0.000,0.026,0.020,0.066,0.298,0.702,0.121,0.228,0.008,0.032,0.960
