Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-10 min (percent),Travel Time 10-20 min (percent),Travel Time 20-30 min (percent),Travel Time 30-40 min (percent),Travel Time 40-50 min (percent),Travel Time 50-60 min (percent),Travel Time 60-70 min (percent),Travel Time 70-80 min (percent),Travel Time 80-90 min (percent),Travel Time 90-100 min (percent),Travel Time 100-110 min (percent),Travel Time 110-120 min (percent),Travel Time 120-130 min (percent),Travel Time 130-140 min (percent),Travel Time 140-150 min (percent),Travel Time 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),00: All Day (12am-12am),3255,2818,2879,17.4,17.4,19,19,3.261,0.013,0.130,0.221,0.195,0.134,0.084,0.056,0.038,0.030,0.019,0.017,0.011,0.010,0.007,0.005,0.030,0.000,0.002,0.105,0.436,0.253,0.085,0.030,0.018,0.023,0.014,0.006,0.004,0.003,0.021,0.097,0.521,0.273,0.083,0.020,0.006,0.000,0.000,0.277,0.382,0.140,0.095,0.044,0.062
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),01: 12am (12am-1am),4,2873,2900,26.3,25.7,23,23,2.647,0.000,0.200,0.200,0.400,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.100,0.500,0.100,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.500,0.300,0.100,0.100,0.000,0.000,0.000,0.500,0.300,0.100,0.000,0.000,0.100
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),02: 1am (1am-2am),2,3203,3371,27.2,24.8,31,27,2.545,0.000,0.000,0.000,0.000,0.250,0.500,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.500,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.500,0.250,0.000,0.000,0.000,0.000,0.500,0.250,0.000,0.000,0.250,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),03: 2am (2am-3am),3,3757,3757,20.8,20.8,23,23,1.945,0.000,0.000,0.000,0.499,0.167,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.333,0.333,0.167,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.167,0.332,0.167,0.167,0.167,0.000,0.000,0.000,0.667,0.333,0.000,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),04: 3am (3am-4am),26,2608,2573,21.2,20.7,22,22,2.532,0.000,0.188,0.365,0.174,0.058,0.087,0.029,0.000,0.000,0.014,0.014,0.000,0.014,0.043,0.000,0.014,0.000,0.000,0.058,0.567,0.159,0.058,0.043,0.014,0.029,0.014,0.029,0.000,0.000,0.029,0.000,0.522,0.290,0.145,0.029,0.014,0.000,0.000,0.319,0.581,0.043,0.000,0.014,0.043
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),05: 4am (4am-5am),250,2293,2300,15.7,15.8,21,22,2.328,0.004,0.137,0.332,0.244,0.142,0.048,0.017,0.014,0.019,0.006,0.009,0.004,0.003,0.001,0.003,0.017,0.000,0.000,0.034,0.536,0.276,0.062,0.027,0.019,0.014,0.009,0.004,0.004,0.001,0.014,0.031,0.481,0.320,0.132,0.027,0.008,0.001,0.000,0.366,0.531,0.068,0.017,0.013,0.005
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),06: 5am (5am-6am),190,2517,2538,17.2,17.3,21,21,2.679,0.006,0.103,0.274,0.242,0.148,0.066,0.062,0.030,0.015,0.024,0.004,0.002,0.007,0.004,0.002,0.011,0.000,0.000,0.047,0.479,0.288,0.056,0.043,0.030,0.017,0.019,0.002,0.002,0.004,0.013,0.062,0.482,0.270,0.139,0.036,0.009,0.002,0.000,0.388,0.462,0.092,0.022,0.006,0.030
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),07: 6am (6am-7am),36,2409,2489,14.8,15.0,21,21,3.200,0.012,0.073,0.306,0.232,0.122,0.085,0.024,0.061,0.024,0.012,0.037,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.049,0.501,0.207,0.146,0.024,0.012,0.061,0.000,0.000,0.000,0.000,0.000,0.049,0.488,0.280,0.134,0.049,0.000,0.000,0.000,0.305,0.390,0.171,0.085,0.012,0.037
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),08: 7am (7am-8am),41,3140,3241,20.1,20.1,19,19,3.787,0.000,0.077,0.198,0.219,0.132,0.077,0.088,0.066,0.022,0.033,0.022,0.022,0.011,0.011,0.000,0.022,0.000,0.000,0.044,0.472,0.231,0.143,0.022,0.022,0.022,0.011,0.011,0.000,0.000,0.022,0.088,0.494,0.308,0.088,0.011,0.011,0.000,0.000,0.220,0.406,0.176,0.088,0.022,0.088
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),09: 8am (8am-9am),67,3105,3133,19.8,19.4,18,18,2.905,0.006,0.155,0.143,0.194,0.179,0.060,0.083,0.042,0.012,0.030,0.030,0.018,0.024,0.000,0.000,0.024,0.000,0.000,0.054,0.535,0.226,0.077,0.018,0.000,0.048,0.006,0.000,0.012,0.000,0.024,0.137,0.506,0.256,0.065,0.030,0.006,0.000,0.000,0.286,0.493,0.101,0.054,0.018,0.048
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),10: 9am (9am-10am),143,2942,3080,17.0,17.6,18,18,3.458,0.011,0.108,0.199,0.178,0.159,0.105,0.043,0.035,0.038,0.022,0.027,0.008,0.019,0.008,0.005,0.035,0.000,0.000,0.076,0.490,0.235,0.070,0.019,0.032,0.019,0.030,0.000,0.000,0.005,0.024,0.149,0.502,0.262,0.062,0.022,0.000,0.000,0.003,0.308,0.427,0.135,0.057,0.011,0.062
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),11: 10am (10am-11am),256,3262,3267,21.1,20.8,20,20,2.979,0.005,0.099,0.187,0.207,0.133,0.097,0.054,0.047,0.035,0.016,0.024,0.012,0.014,0.009,0.009,0.052,0.000,0.002,0.073,0.418,0.242,0.106,0.040,0.016,0.031,0.016,0.010,0.005,0.005,0.036,0.107,0.495,0.270,0.097,0.028,0.003,0.000,0.000,0.388,0.341,0.102,0.074,0.029,0.066
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),12: 11am (11am-12noon),272,3144,3215,19.9,19.9,19,19,3.065,0.010,0.133,0.180,0.167,0.115,0.101,0.074,0.049,0.032,0.018,0.026,0.019,0.018,0.018,0.007,0.033,0.003,0.000,0.127,0.382,0.249,0.089,0.016,0.030,0.033,0.021,0.010,0.007,0.004,0.029,0.104,0.540,0.236,0.092,0.018,0.010,0.000,0.000,0.330,0.308,0.145,0.104,0.053,0.060
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),13: 12pm (12noon-1pm),273,3111,3120,20.5,19.9,19,19,3.210,0.014,0.133,0.190,0.161,0.138,0.093,0.071,0.035,0.038,0.027,0.016,0.016,0.014,0.006,0.003,0.045,0.000,0.004,0.147,0.375,0.226,0.107,0.031,0.010,0.038,0.013,0.003,0.008,0.003,0.035,0.110,0.529,0.240,0.085,0.030,0.006,0.000,0.000,0.333,0.295,0.134,0.123,0.049,0.066
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),14: 1pm (1pm-2pm),268,3195,3188,20.1,19.8,19,19,3.312,0.010,0.121,0.207,0.172,0.123,0.091,0.075,0.034,0.038,0.019,0.021,0.017,0.014,0.003,0.011,0.044,0.001,0.001,0.128,0.398,0.226,0.087,0.043,0.016,0.030,0.016,0.016,0.004,0.006,0.028,0.101,0.522,0.281,0.071,0.019,0.006,0.000,0.000,0.295,0.283,0.161,0.137,0.056,0.068
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),15: 2pm (2pm-3pm),286,3005,3000,18.1,17.8,18,18,3.480,0.012,0.167,0.179,0.182,0.132,0.083,0.048,0.051,0.029,0.017,0.023,0.017,0.008,0.008,0.005,0.039,0.001,0.001,0.154,0.402,0.255,0.057,0.033,0.029,0.019,0.009,0.007,0.003,0.003,0.027,0.111,0.544,0.263,0.061,0.016,0.005,0.000,0.000,0.231,0.307,0.184,0.158,0.063,0.057
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),16: 3pm (3pm-4pm),246,2672,2834,14.4,14.9,18,18,3.865,0.023,0.148,0.188,0.173,0.153,0.075,0.073,0.033,0.041,0.020,0.014,0.014,0.012,0.008,0.002,0.023,0.000,0.003,0.159,0.378,0.261,0.098,0.031,0.019,0.019,0.012,0.002,0.005,0.002,0.011,0.119,0.529,0.275,0.066,0.009,0.000,0.002,0.000,0.173,0.308,0.175,0.162,0.084,0.098
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),17: 4pm (4pm-5pm),212,2785,2860,17.0,16.9,19,19,3.466,0.034,0.133,0.236,0.180,0.114,0.086,0.056,0.036,0.027,0.029,0.009,0.002,0.011,0.007,0.002,0.038,0.000,0.005,0.142,0.393,0.285,0.088,0.018,0.013,0.009,0.014,0.004,0.004,0.000,0.025,0.097,0.551,0.268,0.059,0.016,0.009,0.000,0.000,0.175,0.360,0.184,0.151,0.072,0.058
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),18: 5pm (5pm-6pm),186,2745,2853,16.8,17.1,19,19,3.674,0.022,0.136,0.221,0.190,0.125,0.099,0.053,0.038,0.024,0.018,0.024,0.006,0.006,0.002,0.004,0.032,0.000,0.004,0.121,0.453,0.231,0.089,0.026,0.014,0.022,0.006,0.006,0.002,0.000,0.026,0.099,0.567,0.241,0.069,0.014,0.010,0.000,0.000,0.184,0.367,0.176,0.125,0.061,0.087
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),19: 6pm (6pm-7pm),177,2506,2599,13.2,13.7,18,18,3.240,0.017,0.135,0.230,0.208,0.137,0.075,0.060,0.046,0.025,0.008,0.013,0.012,0.008,0.006,0.008,0.012,0.000,0.002,0.106,0.493,0.241,0.079,0.025,0.006,0.015,0.019,0.004,0.002,0.002,0.006,0.127,0.507,0.285,0.064,0.013,0.002,0.002,0.000,0.229,0.460,0.143,0.066,0.042,0.060
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),20: 7pm (7pm-8pm),193,2449,2564,12.7,13.3,18,18,3.759,0.008,0.119,0.247,0.233,0.146,0.075,0.040,0.037,0.042,0.017,0.008,0.008,0.000,0.004,0.004,0.012,0.000,0.000,0.094,0.453,0.308,0.081,0.029,0.015,0.008,0.002,0.004,0.000,0.000,0.006,0.094,0.548,0.304,0.050,0.004,0.000,0.000,0.000,0.210,0.466,0.145,0.052,0.040,0.087
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),21: 8pm (8pm-9pm),65,3021,3100,18.5,18.3,20,20,4.010,0.006,0.105,0.199,0.142,0.123,0.136,0.062,0.068,0.049,0.043,0.012,0.012,0.000,0.012,0.000,0.031,0.000,0.000,0.068,0.346,0.302,0.154,0.062,0.006,0.019,0.025,0.006,0.000,0.000,0.012,0.074,0.494,0.340,0.074,0.006,0.012,0.000,0.000,0.148,0.426,0.179,0.068,0.056,0.123
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),22: 9pm (9pm-10pm),36,1975,2115,10.2,10.7,18,18,3.465,0.009,0.139,0.315,0.269,0.083,0.102,0.028,0.028,0.009,0.009,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.065,0.610,0.222,0.065,0.019,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.065,0.583,0.269,0.074,0.009,0.000,0.000,0.000,0.167,0.602,0.083,0.037,0.028,0.083
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),23: 10pm (10pm-11pm),17,2635,2705,16.2,16.2,20,20,3.833,0.040,0.120,0.300,0.180,0.120,0.020,0.060,0.020,0.000,0.040,0.000,0.040,0.020,0.020,0.000,0.020,0.000,0.020,0.060,0.540,0.140,0.100,0.040,0.000,0.020,0.060,0.020,0.000,0.000,0.000,0.060,0.480,0.380,0.080,0.000,0.000,0.000,0.000,0.220,0.520,0.100,0.100,0.020,0.040
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),24: 11pm (11pm-12am),7,2490,2773,16.6,17.2,21,21,6.117,0.000,0.091,0.364,0.182,0.000,0.091,0.000,0.091,0.091,0.045,0.000,0.000,0.045,0.000,0.000,0.000,0.000,0.000,0.045,0.410,0.273,0.227,0.000,0.000,0.000,0.000,0.000,0.000,0.045,0.000,0.091,0.500,0.273,0.091,0.045,0.000,0.000,0.000,0.182,0.409,0.182,0.000,0.045,0.182
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),00: All Day (12am-12am),2855,2892,2918,18.0,17.8,19,19,3.331,0.007,0.116,0.230,0.215,0.129,0.086,0.059,0.041,0.029,0.016,0.011,0.011,0.010,0.001,0.003,0.036,0.000,0.000,0.100,0.447,0.250,0.089,0.027,0.015,0.020,0.015,0.005,0.003,0.004,0.025,0.101,0.520,0.274,0.072,0.030,0.003,0.000,0.000,0.297,0.362,0.136,0.088,0.048,0.069
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),01: 12am (12am-1am),7,1460,2304,8.6,14.4,21,22,4.353,0.000,0.000,0.500,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.500
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),05: 4am (4am-5am),181,2004,2089,12.3,13.5,21,21,2.403,0.000,0.139,0.379,0.228,0.101,0.038,0.051,0.038,0.013,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.607,0.266,0.013,0.000,0.051,0.025,0.025,0.000,0.000,0.000,0.000,0.038,0.507,0.291,0.101,0.063,0.000,0.000,0.000,0.329,0.569,0.038,0.013,0.038,0.013
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),06: 5am (5am-6am),174,3068,3082,23.7,23.6,24,24,2.485,0.000,0.027,0.230,0.336,0.149,0.041,0.054,0.041,0.014,0.027,0.027,0.000,0.027,0.000,0.000,0.027,0.000,0.000,0.014,0.377,0.324,0.068,0.081,0.027,0.027,0.041,0.000,0.000,0.000,0.041,0.081,0.365,0.284,0.162,0.081,0.027,0.000,0.000,0.418,0.365,0.149,0.041,0.000,0.027
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),07: 6am (6am-7am),28,2385,2658,15.5,17.5,23,23,3.324,0.000,0.111,0.000,0.222,0.445,0.111,0.000,0.000,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.445,0.111,0.333,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.556,0.111,0.000,0.000,0.000,0.000,0.667,0.111,0.000,0.111,0.000,0.111
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),08: 7am (7am-8am),26,2777,3048,9.8,11.2,13,14,3.778,0.000,0.000,0.111,0.222,0.111,0.222,0.334,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.445,0.444,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.111,0.778,0.111,0.000,0.000,0.000,0.000,0.000,0.111,0.223,0.222,0.222,0.111,0.111
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),09: 8am (8am-9am),85,3472,3529,26.0,24.9,19,19,2.904,0.000,0.129,0.129,0.258,0.194,0.097,0.000,0.032,0.000,0.032,0.032,0.032,0.000,0.000,0.000,0.065,0.000,0.000,0.032,0.515,0.258,0.065,0.000,0.000,0.065,0.000,0.000,0.000,0.000,0.065,0.065,0.579,0.226,0.065,0.065,0.000,0.000,0.000,0.290,0.355,0.226,0.097,0.000,0.032
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),10: 9am (9am-10am),114,3295,3515,22.4,23.3,20,19,3.542,0.000,0.043,0.262,0.196,0.065,0.130,0.043,0.043,0.065,0.022,0.022,0.022,0.022,0.000,0.000,0.065,0.000,0.000,0.043,0.500,0.087,0.174,0.022,0.022,0.043,0.065,0.000,0.000,0.022,0.022,0.130,0.435,0.326,0.087,0.022,0.000,0.000,0.000,0.435,0.326,0.152,0.022,0.000,0.065
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),11: 10am (10am-11am),190,3105,2988,20.2,19.2,19,19,2.550,0.000,0.120,0.227,0.267,0.080,0.080,0.027,0.067,0.040,0.013,0.013,0.000,0.000,0.000,0.013,0.053,0.000,0.000,0.053,0.547,0.200,0.093,0.027,0.013,0.000,0.000,0.000,0.000,0.000,0.067,0.120,0.480,0.307,0.040,0.053,0.000,0.000,0.000,0.507,0.320,0.080,0.013,0.013,0.067
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),12: 11am (11am-12noon),229,2852,2794,16.0,15.4,18,17,2.998,0.012,0.155,0.201,0.190,0.060,0.167,0.071,0.060,0.024,0.012,0.012,0.000,0.012,0.000,0.000,0.024,0.000,0.000,0.143,0.404,0.310,0.083,0.000,0.024,0.000,0.012,0.000,0.000,0.000,0.024,0.107,0.583,0.250,0.036,0.024,0.000,0.000,0.000,0.356,0.286,0.143,0.107,0.060,0.048
