Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-10 min (percent),Travel Time 10-20 min (percent),Travel Time 20-30 min (percent),Travel Time 30-40 min (percent),Travel Time 40-50 min (percent),Travel Time 50-60 min (percent),Travel Time 60-70 min (percent),Travel Time 70-80 min (percent),Travel Time 80-90 min (percent),Travel Time 90-100 min (percent),Travel Time 100-110 min (percent),Travel Time 110-120 min (percent),Travel Time 120-130 min (percent),Travel Time 130-140 min (percent),Travel Time 140-150 min (percent),Travel Time 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,0: All Days (M-Su),0: All Day (12am-12am),2437,2749,2829,16.3,16.4,18,18,3.274,0.023,0.142,0.219,0.185,0.129,0.083,0.052,0.040,0.030,0.021,0.017,0.012,0.010,0.006,0.003,0.028,0.026,0.029,0.115,0.405,0.231,0.084,0.028,0.016,0.023,0.013,0.006,0.003,0.002,0.019,0.156,0.511,0.239,0.073,0.017,0.004,0.000,0.000,0.248,0.413,0.144,0.097,0.042,0.056
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,0: All Days (M-Su),1: Early AM (12am-6am),265,2340,2356,15.7,15.8,20,20,2.487,0.013,0.130,0.320,0.229,0.136,0.060,0.033,0.013,0.016,0.011,0.009,0.003,0.007,0.004,0.003,0.013,0.018,0.013,0.036,0.519,0.247,0.064,0.030,0.020,0.019,0.010,0.006,0.002,0.002,0.014,0.080,0.490,0.267,0.130,0.024,0.008,0.001,0.000,0.354,0.532,0.069,0.019,0.008,0.018
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,0: All Days (M-Su),2: Peak AM (6am-10am),292,2936,3012,18.8,18.9,18,18,2.954,0.012,0.117,0.222,0.196,0.146,0.068,0.046,0.056,0.029,0.027,0.018,0.011,0.011,0.006,0.002,0.033,0.023,0.036,0.067,0.468,0.200,0.079,0.029,0.012,0.033,0.015,0.002,0.003,0.003,0.030,0.178,0.478,0.223,0.076,0.036,0.009,0.000,0.000,0.261,0.497,0.141,0.058,0.011,0.032
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),1208,2963,3024,17.7,17.7,17,17,3.265,0.025,0.152,0.186,0.165,0.121,0.092,0.060,0.042,0.035,0.022,0.024,0.016,0.011,0.009,0.005,0.035,0.035,0.033,0.138,0.348,0.225,0.089,0.028,0.020,0.027,0.016,0.008,0.005,0.004,0.024,0.175,0.506,0.228,0.072,0.016,0.003,0.000,0.000,0.280,0.340,0.155,0.118,0.047,0.060
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),510,2667,2786,14.6,15.0,17,17,3.604,0.034,0.149,0.203,0.178,0.135,0.085,0.059,0.040,0.025,0.019,0.016,0.012,0.010,0.004,0.003,0.028,0.023,0.030,0.150,0.383,0.234,0.088,0.025,0.011,0.020,0.012,0.005,0.003,0.001,0.015,0.167,0.525,0.242,0.052,0.012,0.002,0.000,0.000,0.169,0.393,0.171,0.136,0.064,0.067
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,0: All Days (M-Su),5: Late PM (7pm-12am),162,2564,2674,13.4,13.8,17,17,3.887,0.008,0.121,0.254,0.207,0.128,0.085,0.032,0.052,0.042,0.029,0.008,0.006,0.006,0.005,0.001,0.016,0.010,0.028,0.085,0.469,0.245,0.087,0.030,0.011,0.014,0.010,0.004,0.000,0.001,0.006,0.140,0.557,0.246,0.048,0.006,0.003,0.000,0.000,0.155,0.519,0.139,0.057,0.042,0.088
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,1: Weekday (M-Th),0: All Day (12am-12am),2114,2608,2684,14.6,14.8,17,17,3.293,0.023,0.149,0.224,0.193,0.132,0.083,0.051,0.037,0.027,0.018,0.015,0.010,0.008,0.005,0.003,0.022,0.025,0.030,0.121,0.421,0.231,0.077,0.026,0.017,0.017,0.011,0.005,0.003,0.002,0.014,0.158,0.527,0.230,0.070,0.014,0.001,0.000,0.000,0.237,0.418,0.148,0.100,0.041,0.056
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,1: Weekday (M-Th),1: Early AM (12am-6am),190,2208,2233,14.0,14.2,20,20,2.421,0.008,0.128,0.317,0.249,0.149,0.047,0.033,0.018,0.016,0.011,0.005,0.003,0.005,0.002,0.002,0.007,0.018,0.013,0.036,0.526,0.249,0.059,0.034,0.026,0.015,0.011,0.003,0.002,0.000,0.008,0.090,0.494,0.257,0.131,0.023,0.005,0.000,0.000,0.357,0.533,0.067,0.015,0.010,0.018
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),273,2728,2807,15.8,16.1,18,18,2.887,0.003,0.131,0.223,0.221,0.164,0.067,0.030,0.044,0.030,0.023,0.017,0.007,0.003,0.003,0.000,0.034,0.013,0.037,0.067,0.490,0.228,0.067,0.023,0.007,0.027,0.007,0.000,0.000,0.007,0.027,0.138,0.527,0.235,0.077,0.023,0.000,0.000,0.000,0.235,0.520,0.158,0.050,0.007,0.030
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),1092,2864,2900,16.3,16.3,17,17,3.259,0.027,0.159,0.194,0.168,0.119,0.088,0.062,0.044,0.032,0.019,0.021,0.013,0.011,0.008,0.005,0.030,0.035,0.035,0.152,0.360,0.220,0.079,0.026,0.020,0.021,0.015,0.009,0.006,0.004,0.018,0.181,0.524,0.210,0.070,0.014,0.001,0.000,0.000,0.275,0.341,0.158,0.123,0.051,0.052
