Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,0: All Days (M-Su),0: All Day (12am-12am),2437,2749,2829,16.3,16.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,0: All Days (M-Su),1: Early AM (12am-6am),265,2340,2356,15.7,15.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,0: All Days (M-Su),2: Peak AM (6am-10am),292,2936,3012,18.8,18.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),1208,2963,3024,17.7,17.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),510,2667,2786,14.6,15.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,0: All Days (M-Su),5: Late PM (7pm-12am),162,2564,2674,13.4,13.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,1: Weekday (M-Th),0: All Day (12am-12am),2114,2608,2684,14.6,14.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,1: Weekday (M-Th),1: Early AM (12am-6am),190,2208,2233,14.0,14.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),273,2728,2807,15.8,16.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),1092,2864,2900,16.3,16.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),425,2487,2612,12.8,13.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),134,2382,2536,11.9,12.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),3129,2999,3076,18.9,19.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),441,2592,2596,18.6,18.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),397,3127,3204,21.5,21.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),1443,3177,3253,20.0,20.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),628,3003,3112,17.9,18.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),221,2770,2825,14.2,14.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,0: All Days (M-Su),0: All Day (12am-12am),2467,2785,2862,16.0,16.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,0: All Days (M-Su),1: Early AM (12am-6am),222,2351,2369,15.3,15.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,0: All Days (M-Su),2: Peak AM (6am-10am),260,2947,3026,17.9,18.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),1295,2993,3050,17.4,17.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),534,2703,2819,14.4,14.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,0: All Days (M-Su),5: Late PM (7pm-12am),156,2655,2751,13.7,14.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,1: Weekday (M-Th),0: All Day (12am-12am),2284,2647,2727,14.3,14.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,1: Weekday (M-Th),1: Early AM (12am-6am),190,2230,2261,13.8,14.1
