Mode of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index),Avg Travel Time (sec)
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),00: All Day (12am-12am),1126,1886,2048,1005
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),04: 3am (3am-4am),4,6,2,592
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),05: 4am (4am-5am),51,53,73,815
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),06: 5am (5am-6am),45,90,207,956
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),07: 6am (6am-7am),31,82,87,1118
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),08: 7am (7am-8am),11,28,20,728
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),09: 8am (8am-9am),19,37,18,1091
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),10: 9am (9am-10am),37,82,56,1051
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),11: 10am (10am-11am),90,149,126,1102
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),12: 11am (11am-12noon),137,230,196,1169
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),13: 12pm (12noon-1pm),96,178,232,889
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),14: 1pm (1pm-2pm),109,171,183,886
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),15: 2pm (2pm-3pm),123,188,202,962
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),16: 3pm (3pm-4pm),96,157,159,997
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),17: 4pm (4pm-5pm),84,129,148,1090
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),18: 5pm (5pm-6pm),78,125,123,1119
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),19: 6pm (6pm-7pm),46,77,83,1170
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),20: 7pm (7pm-8pm),41,69,64,872
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),21: 8pm (8pm-9pm),10,12,42,883
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),22: 9pm (9pm-10pm),10,15,19,811
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),23: 10pm (10pm-11pm),4,4,2,374
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),24: 11pm (11pm-12am),4,4,6,582
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),00: All Day (12am-12am),1236,1876,2139,1040
