Mode of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-D Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),00: All Day (12am-12am),1126,0.138,0.134,0.128,0.183,0.132,0.096,0.060,0.061,0.068,0.093,0.282,0.259,0.215,0.151,0.869,0.036,0.004,0.051,0.000,0.020,0.020,0.067,0.315,0.685,0.127,0.244,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),04: 3am (3am-4am),4,0.166,0.158,0.090,0.258,0.057,0.111,0.044,0.036,0.080,0.053,0.272,0.228,0.177,0.270,0.894,0.023,0.007,0.044,0.001,0.012,0.019,0.027,0.175,0.825,0.057,0.147,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),05: 4am (4am-5am),51,0.122,0.133,0.100,0.162,0.126,0.099,0.078,0.075,0.105,0.098,0.241,0.225,0.256,0.180,0.866,0.038,0.003,0.051,0.000,0.025,0.017,0.122,0.353,0.647,0.146,0.269,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),06: 5am (5am-6am),45,0.106,0.117,0.094,0.199,0.135,0.123,0.071,0.080,0.075,0.073,0.248,0.256,0.256,0.167,0.901,0.021,0.004,0.044,0.000,0.017,0.013,0.055,0.280,0.720,0.112,0.215,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),07: 6am (6am-7am),31,0.140,0.168,0.130,0.199,0.138,0.102,0.051,0.050,0.022,0.077,0.302,0.258,0.239,0.124,0.859,0.046,0.003,0.047,0.000,0.019,0.026,0.071,0.353,0.647,0.173,0.252,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),08: 7am (7am-8am),11,0.136,0.099,0.137,0.209,0.161,0.096,0.040,0.045,0.077,0.051,0.238,0.194,0.270,0.247,0.818,0.091,0.004,0.042,0.000,0.022,0.023,0.059,0.247,0.753,0.113,0.180,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),09: 8am (8am-9am),19,0.082,0.125,0.123,0.216,0.120,0.115,0.084,0.070,0.065,0.095,0.297,0.252,0.217,0.139,0.973,0.008,0.000,0.011,0.000,0.002,0.006,0.011,0.264,0.736,0.106,0.216,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),10: 9am (9am-10am),37,0.126,0.119,0.148,0.185,0.130,0.111,0.061,0.065,0.055,0.088,0.319,0.266,0.218,0.109,0.900,0.013,0.002,0.052,0.000,0.007,0.026,0.041,0.311,0.689,0.109,0.256,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),11: 10am (10am-11am),90,0.143,0.109,0.118,0.172,0.129,0.103,0.065,0.090,0.071,0.097,0.254,0.236,0.235,0.178,0.823,0.029,0.005,0.085,0.002,0.032,0.024,0.093,0.333,0.667,0.130,0.257,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),12: 11am (11am-12noon),137,0.138,0.147,0.137,0.181,0.138,0.089,0.063,0.055,0.052,0.092,0.289,0.272,0.206,0.141,0.903,0.028,0.003,0.029,0.000,0.019,0.018,0.060,0.310,0.690,0.122,0.248,0.000,0.000,1.000
