Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),00: All Day (12am-12am),1886,0.137,0.132,0.124,0.183,0.135,0.098,0.060,0.064,0.067,0.096,0.280,0.252,0.219,0.153,0.857,0.040,0.004,0.058,0.000,0.022,0.019,0.068,0.315,0.685,0.127,0.244,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),04: 3am (3am-4am),6,0.161,0.174,0.078,0.235,0.054,0.116,0.046,0.038,0.098,0.050,0.274,0.201,0.191,0.284,0.888,0.027,0.005,0.044,0.000,0.015,0.021,0.034,0.164,0.836,0.052,0.138,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),05: 4am (4am-5am),53,0.124,0.127,0.107,0.160,0.125,0.101,0.075,0.078,0.103,0.097,0.231,0.221,0.257,0.194,0.842,0.056,0.003,0.057,0.000,0.024,0.018,0.117,0.341,0.659,0.144,0.256,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),06: 5am (5am-6am),90,0.110,0.115,0.106,0.184,0.126,0.117,0.068,0.075,0.099,0.069,0.234,0.246,0.261,0.190,0.849,0.044,0.003,0.076,0.000,0.013,0.015,0.047,0.319,0.681,0.121,0.248,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),07: 6am (6am-7am),82,0.133,0.154,0.133,0.208,0.160,0.084,0.046,0.049,0.033,0.085,0.309,0.246,0.218,0.142,0.818,0.077,0.003,0.053,0.000,0.023,0.026,0.082,0.324,0.676,0.155,0.231,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),08: 7am (7am-8am),28,0.151,0.107,0.109,0.206,0.130,0.110,0.052,0.066,0.069,0.090,0.251,0.223,0.219,0.217,0.874,0.039,0.002,0.046,0.000,0.019,0.020,0.049,0.266,0.734,0.117,0.195,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),09: 8am (8am-9am),37,0.143,0.153,0.119,0.218,0.116,0.084,0.061,0.063,0.043,0.124,0.307,0.256,0.193,0.120,0.917,0.026,0.002,0.026,0.000,0.015,0.014,0.053,0.295,0.705,0.118,0.233,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),10: 9am (9am-10am),82,0.132,0.130,0.129,0.183,0.137,0.104,0.064,0.067,0.054,0.112,0.305,0.265,0.210,0.108,0.833,0.040,0.003,0.078,0.000,0.022,0.024,0.063,0.315,0.685,0.123,0.242,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),11: 10am (10am-11am),149,0.140,0.110,0.119,0.173,0.136,0.105,0.068,0.077,0.072,0.106,0.269,0.236,0.227,0.162,0.829,0.037,0.006,0.073,0.001,0.032,0.022,0.094,0.330,0.670,0.128,0.256,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),12: 11am (11am-12noon),230,0.125,0.137,0.124,0.184,0.146,0.097,0.067,0.063,0.057,0.089,0.288,0.258,0.222,0.143,0.905,0.024,0.003,0.035,0.000,0.017,0.016,0.055,0.312,0.688,0.121,0.248,0.000,0.000,1.000
