Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-10 min (percent),Travel Time 10-20 min (percent),Travel Time 20-30 min (percent),Travel Time 30-40 min (percent),Travel Time 40-50 min (percent),Travel Time 50-60 min (percent),Travel Time 60-70 min (percent),Travel Time 70-80 min (percent),Travel Time 80-90 min (percent),Travel Time 90-100 min (percent),Travel Time 100-110 min (percent),Travel Time 110-120 min (percent),Travel Time 120-130 min (percent),Travel Time 130-140 min (percent),Travel Time 140-150 min (percent),Travel Time 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-3 mi (percent),Trip Length 3-4 mi (percent),Trip Length 4-5 mi (percent),Trip Length 5+ mi (percent),Trip Speed 0-1 mph (percent),Trip Speed 1-2 mph (percent),Trip Speed 2-3 mph (percent),Trip Speed 3-4 mph (percent),Trip Speed 4-5 mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),00: All Day (12am-12am),1886,1412,1412,0.4,0.4,1,1,4.812,0.231,0.321,0.224,0.086,0.042,0.026,0.019,0.016,0.016,0.005,0.006,0.001,0.001,0.004,0.000,0.002,0.912,0.046,0.031,0.007,0.004,0.000,0.525,0.340,0.100,0.026,0.005,0.543,0.151,0.082,0.042,0.031,0.151
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),04: 3am (3am-4am),6,1454,1454,0.3,0.3,2,2,17.369,0.334,0.333,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.333,0.333,0.000,0.333,0.000,0.000,0.000,0.667,0.000,0.000,0.333
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),05: 4am (4am-5am),53,995,995,0.2,0.2,2,2,3.978,0.630,0.074,0.074,0.074,0.037,0.037,0.037,0.000,0.000,0.037,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.370,0.074,0.444,0.111,0.000,0.741,0.074,0.037,0.000,0.000,0.148
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),06: 5am (5am-6am),90,1422,1422,0.4,0.4,1,1,3.447,0.317,0.293,0.122,0.098,0.024,0.024,0.073,0.000,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.927,0.000,0.073,0.000,0.000,0.000,0.415,0.439,0.122,0.024,0.000,0.806,0.024,0.000,0.000,0.024,0.146
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),07: 6am (6am-7am),82,1957,1957,0.7,0.7,1,1,2.423,0.188,0.219,0.311,0.063,0.031,0.000,0.000,0.063,0.063,0.000,0.031,0.000,0.000,0.031,0.000,0.000,0.812,0.063,0.094,0.000,0.031,0.000,0.375,0.500,0.063,0.063,0.000,0.718,0.063,0.031,0.063,0.094,0.031
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),08: 7am (7am-8am),28,1848,1848,0.7,0.7,1,1,2.114,0.182,0.272,0.273,0.000,0.000,0.091,0.000,0.091,0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.727,0.182,0.091,0.000,0.000,0.000,0.364,0.636,0.000,0.000,0.000,0.636,0.273,0.000,0.000,0.000,0.091
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),09: 8am (8am-9am),37,2404,2404,0.7,0.7,1,1,9.383,0.067,0.200,0.332,0.133,0.067,0.000,0.067,0.000,0.000,0.000,0.000,0.067,0.067,0.000,0.000,0.000,0.867,0.000,0.133,0.000,0.000,0.000,0.600,0.333,0.067,0.000,0.000,0.533,0.067,0.067,0.000,0.000,0.333
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),10: 9am (9am-10am),82,1365,1365,0.4,0.4,1,1,3.854,0.114,0.457,0.257,0.086,0.000,0.057,0.000,0.000,0.000,0.000,0.029,0.000,0.000,0.000,0.000,0.000,0.942,0.029,0.029,0.000,0.000,0.000,0.629,0.257,0.114,0.000,0.000,0.600,0.200,0.000,0.057,0.029,0.114
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),11: 10am (10am-11am),149,1571,1571,0.5,0.5,1,1,5.501,0.162,0.351,0.191,0.118,0.074,0.015,0.015,0.015,0.029,0.015,0.015,0.000,0.000,0.000,0.000,0.000,0.897,0.059,0.015,0.029,0.000,0.000,0.500,0.412,0.088,0.000,0.000,0.500,0.147,0.118,0.029,0.015,0.191
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),12: 11am (11am-12noon),230,1686,1686,0.5,0.5,1,1,4.653,0.176,0.285,0.235,0.127,0.039,0.029,0.039,0.020,0.010,0.010,0.020,0.000,0.000,0.000,0.000,0.010,0.893,0.039,0.029,0.029,0.010,0.000,0.578,0.353,0.049,0.020,0.000,0.521,0.196,0.088,0.029,0.029,0.137
