Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-10 min (percent),Travel Time 10-20 min (percent),Travel Time 20-30 min (percent),Travel Time 30-40 min (percent),Travel Time 40-50 min (percent),Travel Time 50-60 min (percent),Travel Time 60-70 min (percent),Travel Time 70-80 min (percent),Travel Time 80-90 min (percent),Travel Time 90-100 min (percent),Travel Time 100-110 min (percent),Travel Time 110-120 min (percent),Travel Time 120-130 min (percent),Travel Time 130-140 min (percent),Travel Time 140-150 min (percent),Travel Time 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),00: All Day (12am-12am),3647,2526,2592,14.2,14.4,18,18,3.197,0.011,0.136,0.237,0.214,0.139,0.084,0.054,0.033,0.025,0.017,0.013,0.009,0.006,0.004,0.004,0.014,0.001,0.002,0.148,0.452,0.228,0.080,0.024,0.017,0.022,0.008,0.003,0.004,0.001,0.010,0.118,0.573,0.233,0.065,0.009,0.002,0.000,0.000,0.262,0.400,0.145,0.094,0.040,0.059
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),02: 1am (1am-2am),1,1275,1275,10.0,10.0,28,28,1.653,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),03: 2am (2am-3am),1,1554,1554,6.4,6.4,13,13,2.900,0.000,0.500,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.500,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),04: 3am (3am-4am),84,1905,1919,11.0,11.1,20,20,2.351,0.003,0.209,0.313,0.253,0.135,0.037,0.017,0.013,0.007,0.003,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.141,0.506,0.246,0.051,0.027,0.013,0.013,0.003,0.000,0.000,0.000,0.000,0.064,0.502,0.330,0.091,0.013,0.000,0.000,0.000,0.290,0.612,0.057,0.034,0.007,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),05: 4am (4am-5am),181,2232,2249,14.9,15.1,21,21,2.258,0.007,0.148,0.289,0.215,0.157,0.058,0.049,0.033,0.018,0.016,0.004,0.000,0.002,0.002,0.000,0.002,0.002,0.000,0.067,0.467,0.242,0.116,0.040,0.024,0.024,0.011,0.000,0.005,0.000,0.002,0.045,0.444,0.354,0.128,0.025,0.002,0.002,0.000,0.358,0.556,0.063,0.016,0.005,0.002
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),06: 5am (5am-6am),100,2240,2275,14.5,14.7,21,21,2.434,0.007,0.136,0.262,0.256,0.140,0.083,0.030,0.023,0.030,0.020,0.010,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.083,0.425,0.282,0.113,0.020,0.020,0.040,0.017,0.000,0.000,0.000,0.000,0.040,0.461,0.336,0.153,0.010,0.000,0.000,0.000,0.362,0.485,0.076,0.043,0.007,0.027
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),07: 6am (6am-7am),98,2480,2515,15.5,15.5,20,20,2.713,0.015,0.107,0.261,0.211,0.164,0.077,0.042,0.036,0.018,0.015,0.024,0.015,0.003,0.000,0.006,0.006,0.000,0.000,0.065,0.491,0.223,0.116,0.024,0.021,0.027,0.021,0.000,0.000,0.000,0.012,0.063,0.505,0.274,0.140,0.018,0.000,0.000,0.000,0.271,0.499,0.146,0.039,0.015,0.030
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),08: 7am (7am-8am),108,2628,2656,16.5,16.5,20,20,2.745,0.011,0.118,0.209,0.214,0.174,0.061,0.083,0.037,0.035,0.024,0.005,0.008,0.000,0.005,0.000,0.016,0.000,0.003,0.086,0.422,0.278,0.112,0.035,0.021,0.013,0.003,0.000,0.008,0.000,0.019,0.075,0.535,0.291,0.067,0.024,0.008,0.000,0.000,0.326,0.455,0.123,0.051,0.024,0.021
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),09: 8am (8am-9am),188,2772,2805,17.0,16.9,19,19,2.632,0.005,0.098,0.219,0.195,0.168,0.089,0.062,0.040,0.044,0.027,0.022,0.008,0.003,0.002,0.005,0.013,0.000,0.000,0.081,0.462,0.226,0.104,0.025,0.025,0.051,0.005,0.005,0.003,0.002,0.011,0.104,0.529,0.225,0.128,0.011,0.003,0.000,0.000,0.395,0.394,0.117,0.046,0.021,0.027
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),10: 9am (9am-10am),309,2705,2734,14.9,15.0,18,18,2.714,0.007,0.091,0.207,0.244,0.154,0.093,0.056,0.045,0.026,0.020,0.016,0.014,0.007,0.006,0.004,0.010,0.001,0.001,0.078,0.507,0.206,0.099,0.033,0.021,0.025,0.011,0.004,0.007,0.001,0.006,0.125,0.557,0.227,0.084,0.005,0.002,0.000,0.000,0.339,0.439,0.120,0.057,0.022,0.023
