Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),00: All Day (12am-12am),4182,2524,2568,14.0,14.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),04: 3am (3am-4am),145,1813,1833,9.1,9.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),05: 4am (4am-5am),199,2174,2174,13.8,13.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),06: 5am (5am-6am),79,2512,2533,17.8,17.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),07: 6am (6am-7am),116,2433,2453,14.1,14.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),08: 7am (7am-8am),156,2665,2690,17.7,17.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),09: 8am (8am-9am),241,2984,2979,19.1,18.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),10: 9am (9am-10am),318,2648,2648,14.2,14.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),11: 10am (10am-11am),347,2728,2794,15.6,15.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),12: 11am (11am-12noon),349,2818,2818,17.1,16.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),13: 12pm (12noon-1pm),330,2940,2929,18.7,18.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),14: 1pm (1pm-2pm),351,2441,2475,11.8,11.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),15: 2pm (2pm-3pm),345,2310,2536,11.2,12.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),16: 3pm (3pm-4pm),293,2545,2501,12.6,12.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),17: 4pm (4pm-5pm),266,2143,2245,9.3,10.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),18: 5pm (5pm-6pm),190,2777,2833,15.8,16.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),19: 6pm (6pm-7pm),213,2260,2389,10.4,11.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),20: 7pm (7pm-8pm),207,2144,2180,10.0,10.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),21: 8pm (8pm-9pm),17,2438,2438,13.8,13.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),22: 9pm (9pm-10pm),13,2431,2431,13.3,13.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),23: 10pm (10pm-11pm),8,1391,1689,7.8,9.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),24: 11pm (11pm-12am),1,1848,1848,6.5,6.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),00: All Day (12am-12am),4682,2711,2704,16.5,16.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),04: 3am (3am-4am),200,1853,1853,9.0,9.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),05: 4am (4am-5am),250,2159,2159,12.6,12.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),06: 5am (5am-6am),150,3367,3232,28.4,26.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),07: 6am (6am-7am),150,2577,2577,15.6,15.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),08: 7am (7am-8am),200,4197,4197,41.4,41.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),09: 8am (8am-9am),250,2966,2966,21.9,21.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),10: 9am (9am-10am),290,2298,2299,9.9,10.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),11: 10am (10am-11am),290,3264,3315,21.4,21.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),12: 11am (11am-12noon),410,3103,2906,20.8,18.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),13: 12pm (12noon-1pm),460,3182,3246,20.8,21.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),14: 1pm (1pm-2pm),530,2344,2275,11.6,11.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),15: 2pm (2pm-3pm),330,2082,2156,7.9,8.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),16: 3pm (3pm-4pm),340,3384,3146,20.7,19.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),17: 4pm (4pm-5pm),230,2270,2591,9.9,13.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),18: 5pm (5pm-6pm),90,2669,3026,13.8,17.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),19: 6pm (6pm-7pm),250,2129,2155,9.1,9.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),20: 7pm (7pm-8pm),250,2223,2223,10.5,10.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),21: 8pm (8pm-9pm),10,2981,2981,8.6,8.6
