Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-10 min (percent),Travel Time 10-20 min (percent),Travel Time 20-30 min (percent),Travel Time 30-40 min (percent),Travel Time 40-50 min (percent),Travel Time 50-60 min (percent),Travel Time 60-70 min (percent),Travel Time 70-80 min (percent),Travel Time 80-90 min (percent),Travel Time 90-100 min (percent),Travel Time 100-110 min (percent),Travel Time 110-120 min (percent),Travel Time 120-130 min (percent),Travel Time 130-140 min (percent),Travel Time 140-150 min (percent),Travel Time 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),00: All Day (12am-12am),4182,2524,2568,14.0,14.1,18,18,3.121,0.011,0.139,0.251,0.207,0.132,0.085,0.055,0.027,0.024,0.018,0.013,0.010,0.005,0.004,0.006,0.013,0.001,0.002,0.163,0.443,0.230,0.073,0.020,0.015,0.027,0.009,0.004,0.001,0.002,0.010,0.115,0.580,0.230,0.065,0.009,0.001,0.000,0.000,0.274,0.400,0.149,0.087,0.037,0.053
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),04: 3am (3am-4am),145,1813,1833,9.1,9.3,18,18,2.249,0.009,0.179,0.302,0.304,0.161,0.036,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.188,0.410,0.366,0.027,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.080,0.536,0.321,0.063,0.000,0.000,0.000,0.000,0.411,0.517,0.036,0.027,0.009,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),05: 4am (4am-5am),199,2174,2174,13.8,13.8,21,21,2.159,0.000,0.104,0.371,0.247,0.117,0.065,0.045,0.019,0.013,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.501,0.273,0.110,0.032,0.013,0.026,0.013,0.000,0.000,0.000,0.000,0.019,0.488,0.351,0.123,0.019,0.000,0.000,0.000,0.390,0.539,0.071,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),06: 5am (5am-6am),79,2512,2533,17.8,17.7,23,22,2.410,0.016,0.082,0.279,0.230,0.180,0.049,0.016,0.033,0.033,0.033,0.033,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.427,0.311,0.098,0.000,0.033,0.049,0.066,0.000,0.000,0.000,0.000,0.016,0.460,0.262,0.246,0.016,0.000,0.000,0.000,0.443,0.361,0.066,0.098,0.016,0.016
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),07: 6am (6am-7am),116,2433,2453,14.1,14.1,20,20,2.573,0.022,0.122,0.213,0.189,0.200,0.111,0.033,0.044,0.022,0.011,0.022,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.089,0.501,0.211,0.100,0.022,0.044,0.033,0.000,0.000,0.000,0.000,0.000,0.067,0.500,0.300,0.133,0.000,0.000,0.000,0.000,0.278,0.444,0.211,0.056,0.000,0.011
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),08: 7am (7am-8am),156,2665,2690,17.7,17.9,20,20,2.962,0.025,0.124,0.207,0.248,0.116,0.050,0.107,0.033,0.008,0.033,0.008,0.008,0.000,0.008,0.000,0.025,0.000,0.000,0.083,0.479,0.256,0.074,0.017,0.025,0.025,0.008,0.000,0.000,0.000,0.033,0.050,0.553,0.273,0.083,0.033,0.008,0.000,0.000,0.339,0.421,0.174,0.041,0.008,0.017
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),09: 8am (8am-9am),241,2984,2979,19.1,18.7,20,20,2.665,0.005,0.107,0.217,0.176,0.128,0.107,0.059,0.032,0.080,0.021,0.032,0.005,0.000,0.005,0.005,0.021,0.000,0.000,0.075,0.450,0.230,0.080,0.021,0.037,0.070,0.005,0.011,0.000,0.005,0.016,0.112,0.487,0.241,0.139,0.021,0.000,0.000,0.000,0.380,0.369,0.150,0.043,0.021,0.037
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),10: 9am (9am-10am),318,2648,2648,14.2,14.2,17,17,2.461,0.004,0.098,0.215,0.248,0.150,0.098,0.045,0.045,0.037,0.012,0.020,0.012,0.000,0.008,0.000,0.008,0.000,0.000,0.077,0.548,0.167,0.110,0.037,0.004,0.033,0.012,0.004,0.000,0.000,0.008,0.106,0.577,0.232,0.081,0.004,0.000,0.000,0.000,0.358,0.472,0.081,0.053,0.024,0.012
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),11: 10am (10am-11am),347,2728,2794,15.6,15.6,17,17,2.774,0.004,0.112,0.245,0.246,0.086,0.086,0.067,0.030,0.022,0.015,0.019,0.019,0.011,0.015,0.004,0.019,0.000,0.000,0.134,0.521,0.171,0.052,0.022,0.022,0.033,0.015,0.011,0.000,0.000,0.019,0.156,0.576,0.190,0.063,0.015,0.000,0.000,0.000,0.327,0.447,0.078,0.074,0.011,0.063
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),12: 11am (11am-12noon),349,2818,2818,17.1,16.7,19,18,3.323,0.030,0.141,0.200,0.189,0.130,0.081,0.059,0.041,0.022,0.007,0.022,0.022,0.015,0.000,0.022,0.019,0.000,0.007,0.204,0.375,0.196,0.078,0.026,0.007,0.048,0.026,0.007,0.004,0.015,0.007,0.115,0.544,0.248,0.089,0.004,0.000,0.000,0.000,0.281,0.285,0.204,0.093,0.052,0.085
