Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-10 min (percent),Travel Time 10-20 min (percent),Travel Time 20-30 min (percent),Travel Time 30-40 min (percent),Travel Time 40-50 min (percent),Travel Time 50-60 min (percent),Travel Time 60-70 min (percent),Travel Time 70-80 min (percent),Travel Time 80-90 min (percent),Travel Time 90-100 min (percent),Travel Time 100-110 min (percent),Travel Time 110-120 min (percent),Travel Time 120-130 min (percent),Travel Time 130-140 min (percent),Travel Time 140-150 min (percent),Travel Time 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),00: All Day (12am-12am),901,2863,3028,18.9,19.5,21,21,3.058,0.032,0.172,0.187,0.137,0.113,0.088,0.070,0.047,0.034,0.025,0.019,0.012,0.011,0.008,0.006,0.039,0.000,0.003,0.156,0.305,0.281,0.123,0.040,0.021,0.020,0.014,0.006,0.003,0.003,0.025,0.071,0.454,0.338,0.111,0.018,0.007,0.001,0.000,0.584,0.202,0.090,0.045,0.019,0.060
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),01: 12am (12am-1am),0,N/A,3083,N/A,19.2,N/A,22,53.493,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),02: 1am (1am-2am),0,N/A,3875,N/A,17.7,N/A,16,5.054,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),04: 3am (3am-4am),0,1964,1964,21.7,21.7,35,35,2.218,0.000,0.500,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.500,0.000,0.000,0.000,0.500,0.000,0.500,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),05: 4am (4am-5am),1,4771,4403,24.2,23.9,19,20,15.219,0.000,0.000,0.143,0.143,0.000,0.143,0.285,0.000,0.000,0.143,0.000,0.000,0.000,0.000,0.000,0.143,0.000,0.000,0.000,0.143,0.285,0.286,0.143,0.000,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.714,0.143,0.143,0.000,0.000,0.000,0.000,0.286,0.428,0.000,0.000,0.000,0.286
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),06: 5am (5am-6am),3,8281,6712,99.8,71.5,30,25,6.434,0.000,0.000,0.115,0.038,0.271,0.077,0.077,0.077,0.000,0.077,0.000,0.038,0.000,0.038,0.000,0.192,0.000,0.000,0.000,0.115,0.463,0.077,0.077,0.038,0.000,0.038,0.000,0.000,0.038,0.154,0.000,0.501,0.231,0.115,0.038,0.115,0.000,0.000,0.308,0.154,0.154,0.038,0.038,0.308
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),07: 6am (6am-7am),5,2497,2542,13.4,13.8,19,20,3.155,0.000,0.071,0.286,0.119,0.286,0.071,0.095,0.024,0.000,0.000,0.024,0.000,0.024,0.000,0.000,0.000,0.000,0.000,0.024,0.357,0.476,0.119,0.000,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.024,0.571,0.310,0.095,0.000,0.000,0.000,0.000,0.596,0.214,0.071,0.024,0.024,0.071
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),08: 7am (7am-8am),14,2380,2500,14.0,14.5,19,19,2.581,0.037,0.125,0.243,0.221,0.110,0.110,0.081,0.022,0.007,0.007,0.022,0.000,0.000,0.000,0.000,0.015,0.000,0.000,0.147,0.470,0.228,0.125,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.103,0.493,0.294,0.103,0.000,0.007,0.000,0.000,0.670,0.162,0.088,0.022,0.007,0.051
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),09: 8am (8am-9am),24,2745,2810,18.8,18.8,20,20,3.149,0.037,0.161,0.246,0.142,0.161,0.046,0.055,0.032,0.046,0.000,0.023,0.018,0.005,0.005,0.000,0.023,0.000,0.005,0.197,0.340,0.266,0.101,0.032,0.009,0.018,0.009,0.000,0.000,0.000,0.023,0.092,0.485,0.303,0.083,0.023,0.009,0.005,0.000,0.647,0.197,0.083,0.018,0.005,0.050
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),10: 9am (9am-10am),37,2566,2738,15.7,16.5,20,20,3.122,0.042,0.168,0.246,0.165,0.092,0.050,0.061,0.039,0.031,0.028,0.017,0.008,0.011,0.003,0.011,0.028,0.000,0.003,0.176,0.345,0.260,0.095,0.039,0.020,0.028,0.008,0.003,0.000,0.006,0.017,0.078,0.472,0.307,0.123,0.014,0.006,0.000,0.000,0.690,0.145,0.081,0.034,0.011,0.039
