Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,0: All Days (M-Su),00: All Day (12am-12am),146,2144,2144,10.3,10.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,0: All Days (M-Su),07: 6am (6am-7am),12,1772,1772,2.8,2.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,0: All Days (M-Su),10: 9am (9am-10am),18,2381,2381,15.8,15.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,0: All Days (M-Su),12: 11am (11am-12noon),3,1155,1155,1.7,1.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,0: All Days (M-Su),13: 12pm (12noon-1pm),12,1905,1905,8.4,8.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,0: All Days (M-Su),15: 2pm (2pm-3pm),29,1303,1303,4.3,4.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,0: All Days (M-Su),16: 3pm (3pm-4pm),8,1022,1022,4.2,4.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,0: All Days (M-Su),18: 5pm (5pm-6pm),18,5125,5125,34.0,34.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,0: All Days (M-Su),19: 6pm (6pm-7pm),18,2124,2124,4.5,4.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,0: All Days (M-Su),20: 7pm (7pm-8pm),16,1313,1313,4.3,4.3
