Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),00: All Day (12am-12am),1473,0.133,0.129,0.123,0.182,0.139,0.100,0.062,0.066,0.066,0.090,0.274,0.262,0.221,0.153,0.862,0.040,0.004,0.056,0.000,0.018,0.020,0.061,0.326,0.674,0.131,0.255,0.000,0.001,0.999
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),04: 3am (3am-4am),4,0.132,0.112,0.118,0.185,0.166,0.126,0.087,0.032,0.042,0.139,0.246,0.405,0.114,0.096,0.855,0.062,0.000,0.020,0.000,0.022,0.041,0.115,0.494,0.506,0.253,0.370,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),05: 4am (4am-5am),23,0.106,0.109,0.115,0.157,0.127,0.096,0.070,0.092,0.128,0.073,0.222,0.228,0.255,0.222,0.885,0.050,0.001,0.031,0.001,0.018,0.014,0.055,0.350,0.650,0.131,0.290,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),06: 5am (5am-6am),40,0.123,0.104,0.131,0.188,0.141,0.095,0.063,0.080,0.075,0.085,0.260,0.257,0.217,0.181,0.841,0.044,0.003,0.075,0.000,0.018,0.019,0.044,0.351,0.649,0.128,0.279,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),07: 6am (6am-7am),44,0.138,0.125,0.114,0.183,0.137,0.109,0.058,0.070,0.066,0.109,0.273,0.243,0.214,0.161,0.854,0.031,0.006,0.081,0.000,0.011,0.017,0.050,0.321,0.679,0.123,0.255,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),08: 7am (7am-8am),5,0.149,0.111,0.116,0.199,0.102,0.103,0.115,0.088,0.017,0.119,0.284,0.256,0.222,0.119,0.764,0.183,0.002,0.017,0.000,0.009,0.025,0.044,0.288,0.712,0.120,0.227,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),09: 8am (8am-9am),21,0.143,0.143,0.142,0.179,0.130,0.105,0.047,0.054,0.057,0.084,0.273,0.260,0.228,0.155,0.854,0.049,0.002,0.043,0.002,0.023,0.027,0.062,0.255,0.745,0.095,0.204,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),10: 9am (9am-10am),87,0.117,0.116,0.115,0.161,0.141,0.112,0.072,0.080,0.086,0.085,0.242,0.262,0.241,0.170,0.851,0.032,0.004,0.065,0.000,0.026,0.022,0.085,0.341,0.659,0.139,0.271,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),11: 10am (10am-11am),147,0.135,0.123,0.123,0.179,0.134,0.101,0.062,0.071,0.072,0.090,0.266,0.256,0.226,0.162,0.840,0.053,0.005,0.055,0.001,0.024,0.022,0.070,0.337,0.663,0.140,0.256,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),12: 11am (11am-12noon),201,0.119,0.120,0.119,0.177,0.144,0.108,0.063,0.077,0.073,0.084,0.265,0.266,0.231,0.154,0.870,0.035,0.006,0.052,0.000,0.016,0.021,0.065,0.355,0.645,0.138,0.282,0.000,0.000,1.000
