Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-5 min (percent),Travel Time 5-10 min (percent),Travel Time 10-15 min (percent),Travel Time 15-20 min (percent),Travel Time 20-25 min (percent),Travel Time 25-30 min (percent),Travel Time 30-35 min (percent),Travel Time 35-40 min (percent),Travel Time 40-45 min (percent),Travel Time 45-50 min (percent),Travel Time 50-55 min (percent),Travel Time 55-60 min (percent),Travel Time 60+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-3 mi (percent),Trip Length 3-4 mi (percent),Trip Length 4-5 mi (percent),Trip Length 5+ mi (percent),Trip Speed 0-1 mph (percent),Trip Speed 1-2 mph (percent),Trip Speed 2-3 mph (percent),Trip Speed 3-4 mph (percent),Trip Speed 4-5 mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),00: All Day (12am-12am),1473,1804,1804,0.6,0.6,1,1,5.755,0.046,0.078,0.152,0.164,0.158,0.083,0.063,0.045,0.039,0.026,0.022,0.015,0.109,0.856,0.072,0.053,0.009,0.006,0.004,0.436,0.419,0.092,0.030,0.013,0.543,0.203,0.081,0.033,0.022,0.118
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),04: 3am (3am-4am),4,526,526,0.1,0.1,2,2,1.821,0.333,0.000,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.333,0.333,0.000,0.333,0.000,0.667,0.000,0.333,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),05: 4am (4am-5am),23,1522,1522,0.3,0.3,1,1,7.637,0.105,0.105,0.105,0.157,0.105,0.053,0.053,0.053,0.158,0.000,0.053,0.000,0.053,1.000,0.000,0.000,0.000,0.000,0.000,0.421,0.474,0.105,0.000,0.000,0.473,0.053,0.053,0.053,0.105,0.263
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),06: 5am (5am-6am),40,1620,1620,0.4,0.4,1,1,2.379,0.065,0.032,0.257,0.161,0.097,0.129,0.000,0.065,0.065,0.032,0.000,0.000,0.097,0.903,0.065,0.032,0.000,0.000,0.000,0.516,0.387,0.097,0.000,0.000,0.613,0.226,0.065,0.032,0.032,0.032
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),07: 6am (6am-7am),44,1428,1428,0.5,0.5,1,1,4.259,0.118,0.059,0.176,0.147,0.118,0.118,0.059,0.059,0.000,0.059,0.029,0.029,0.029,0.912,0.000,0.088,0.000,0.000,0.000,0.441,0.294,0.206,0.029,0.029,0.618,0.147,0.147,0.000,0.000,0.088
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),08: 7am (7am-8am),5,2666,2666,0.4,0.4,1,1,1.801,0.000,0.000,0.000,0.000,0.500,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.250,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),09: 8am (8am-9am),21,2493,2493,1.4,1.4,2,2,5.727,0.000,0.059,0.118,0.118,0.118,0.059,0.059,0.000,0.118,0.118,0.000,0.000,0.233,0.646,0.118,0.059,0.000,0.059,0.118,0.353,0.412,0.059,0.176,0.000,0.470,0.059,0.118,0.118,0.000,0.235
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),10: 9am (9am-10am),87,1466,1466,0.5,0.5,1,1,6.264,0.000,0.118,0.118,0.308,0.206,0.044,0.074,0.029,0.029,0.000,0.015,0.000,0.059,0.912,0.029,0.044,0.015,0.000,0.000,0.426,0.441,0.088,0.015,0.015,0.411,0.294,0.162,0.015,0.000,0.118
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),11: 10am (10am-11am),147,1868,1868,0.7,0.7,1,1,3.904,0.060,0.103,0.078,0.208,0.164,0.086,0.043,0.017,0.017,0.026,0.017,0.009,0.172,0.845,0.069,0.060,0.009,0.017,0.000,0.422,0.448,0.069,0.026,0.026,0.585,0.233,0.009,0.026,0.026,0.121
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),12: 11am (11am-12noon),201,1704,1704,0.6,0.6,1,1,7.748,0.032,0.070,0.146,0.211,0.121,0.108,0.057,0.045,0.045,0.038,0.013,0.025,0.089,0.867,0.076,0.032,0.013,0.006,0.006,0.427,0.427,0.083,0.032,0.019,0.592,0.140,0.108,0.032,0.032,0.096
