Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),00: All Day (12am-12am),1473,1804,1804,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),04: 3am (3am-4am),4,526,526,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),05: 4am (4am-5am),23,1522,1522,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),06: 5am (5am-6am),40,1620,1620,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),07: 6am (6am-7am),44,1428,1428,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),08: 7am (7am-8am),5,2667,2667,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),09: 8am (8am-9am),21,2493,2493,1.4,1.4
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),10: 9am (9am-10am),87,1466,1466,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),11: 10am (10am-11am),147,1868,1868,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),12: 11am (11am-12noon),201,1704,1704,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),13: 12pm (12noon-1pm),194,2212,2212,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),14: 1pm (1pm-2pm),163,2132,2132,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),15: 2pm (2pm-3pm),169,1801,1801,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),16: 3pm (3pm-4pm),116,1688,1688,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),17: 4pm (4pm-5pm),107,1537,1537,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),18: 5pm (5pm-6pm),64,1466,1466,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),19: 6pm (6pm-7pm),40,1279,1279,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),20: 7pm (7pm-8pm),37,1926,1926,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),21: 8pm (8pm-9pm),9,2712,2712,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),22: 9pm (9pm-10pm),2,969,969,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),23: 10pm (10pm-11pm),1,295,295,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),00: All Day (12am-12am),1789,1908,1908,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),05: 4am (4am-5am),17,721,721,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),06: 5am (5am-6am),70,1895,1895,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),07: 6am (6am-7am),27,510,510,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),08: 7am (7am-8am),8,1213,1213,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),09: 8am (8am-9am),34,1851,1851,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),10: 9am (9am-10am),68,1592,1592,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),11: 10am (10am-11am),203,1899,1899,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),12: 11am (11am-12noon),223,1749,1749,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),13: 12pm (12noon-1pm),233,2404,2404,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),14: 1pm (1pm-2pm),151,2535,2535,1.0,1.0
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),15: 2pm (2pm-3pm),263,1913,1913,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),16: 3pm (3pm-4pm),192,1583,1583,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),17: 4pm (4pm-5pm),134,2024,2024,0.8,0.8
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),18: 5pm (5pm-6pm),64,1135,1135,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),19: 6pm (6pm-7pm),60,1503,1503,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),20: 7pm (7pm-8pm),42,2766,2766,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,2: Tuesday (Tu-Tu),00: All Day (12am-12am),1453,1923,1923,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,2: Tuesday (Tu-Tu),04: 3am (3am-4am),17,753,753,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,2: Tuesday (Tu-Tu),05: 4am (4am-5am),17,2920,2920,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,2: Tuesday (Tu-Tu),06: 5am (5am-6am),52,2316,2316,0.8,0.8
