Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-5 min (percent),Travel Time 5-10 min (percent),Travel Time 10-15 min (percent),Travel Time 15-20 min (percent),Travel Time 20-25 min (percent),Travel Time 25-30 min (percent),Travel Time 30-35 min (percent),Travel Time 35-40 min (percent),Travel Time 40-45 min (percent),Travel Time 45-50 min (percent),Travel Time 50-55 min (percent),Travel Time 55-60 min (percent),Travel Time 60+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-3 mi (percent),Trip Length 3-4 mi (percent),Trip Length 4-5 mi (percent),Trip Length 5+ mi (percent),Trip Speed 0-1 mph (percent),Trip Speed 1-2 mph (percent),Trip Speed 2-3 mph (percent),Trip Speed 3-4 mph (percent),Trip Speed 4-5 mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),00: All Day (12am-12am),1772,1239,1239,0.4,0.4,1,1,5.434,0.165,0.132,0.155,0.150,0.132,0.073,0.052,0.035,0.019,0.016,0.015,0.014,0.042,0.951,0.027,0.014,0.006,0.002,0.000,0.479,0.348,0.113,0.037,0.019,0.487,0.185,0.087,0.049,0.035,0.157
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),01: 12am (12am-1am),1,5027,5027,0.5,0.5,0,0,1.445,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),04: 3am (3am-4am),5,1218,1218,0.1,0.1,1,1,10.317,0.250,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.500,0.250,0.000,0.250,0.000,0.500,0.000,0.250,0.000,0.000,0.250
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),05: 4am (4am-5am),60,910,910,0.2,0.2,2,2,3.287,0.520,0.063,0.083,0.083,0.083,0.000,0.000,0.000,0.063,0.000,0.042,0.021,0.042,1.000,0.000,0.000,0.000,0.000,0.000,0.375,0.292,0.292,0.042,0.000,0.624,0.188,0.063,0.000,0.021,0.104
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),06: 5am (5am-6am),39,1263,1263,0.3,0.3,1,1,3.436,0.267,0.067,0.133,0.133,0.067,0.100,0.033,0.000,0.067,0.033,0.000,0.067,0.033,0.967,0.000,0.000,0.033,0.000,0.000,0.600,0.200,0.100,0.100,0.000,0.600,0.200,0.033,0.033,0.067,0.067
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),07: 6am (6am-7am),53,1250,1250,0.4,0.4,2,2,3.642,0.268,0.171,0.122,0.073,0.049,0.122,0.049,0.024,0.000,0.000,0.049,0.000,0.073,0.903,0.024,0.073,0.000,0.000,0.000,0.268,0.415,0.146,0.146,0.024,0.757,0.073,0.073,0.000,0.024,0.073
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),08: 7am (7am-8am),9,863,863,0.3,0.3,2,2,1.637,0.000,0.428,0.000,0.143,0.429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.286,0.571,0.000,0.000,0.143,0.571,0.429,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),09: 8am (8am-9am),34,1400,1400,0.4,0.4,1,1,5.801,0.074,0.111,0.148,0.186,0.185,0.074,0.000,0.037,0.000,0.111,0.000,0.037,0.037,0.963,0.037,0.000,0.000,0.000,0.000,0.593,0.296,0.111,0.000,0.000,0.408,0.074,0.296,0.074,0.000,0.148
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),10: 9am (9am-10am),133,1337,1337,0.4,0.4,1,1,12.775,0.095,0.143,0.095,0.208,0.133,0.057,0.143,0.010,0.029,0.010,0.019,0.010,0.048,0.942,0.038,0.010,0.010,0.000,0.000,0.524,0.343,0.086,0.029,0.019,0.342,0.229,0.105,0.086,0.019,0.219
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),11: 10am (10am-11am),174,1244,1244,0.4,0.4,1,1,5.210,0.161,0.124,0.124,0.219,0.139,0.073,0.036,0.015,0.022,0.022,0.007,0.000,0.058,0.934,0.044,0.000,0.007,0.015,0.000,0.438,0.365,0.102,0.073,0.022,0.475,0.226,0.029,0.029,0.044,0.197
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),12: 11am (11am-12noon),217,1158,1158,0.3,0.3,1,1,4.066,0.164,0.147,0.165,0.141,0.118,0.082,0.047,0.047,0.006,0.024,0.012,0.018,0.029,0.964,0.018,0.018,0.000,0.000,0.000,0.476,0.324,0.153,0.006,0.024,0.506,0.171,0.088,0.041,0.065,0.129
