Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-5 min (percent),Travel Time 5-10 min (percent),Travel Time 10-15 min (percent),Travel Time 15-20 min (percent),Travel Time 20-25 min (percent),Travel Time 25-30 min (percent),Travel Time 30-35 min (percent),Travel Time 35-40 min (percent),Travel Time 40-45 min (percent),Travel Time 45-50 min (percent),Travel Time 50-55 min (percent),Travel Time 55-60 min (percent),Travel Time 60+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-3 mi (percent),Trip Length 3-4 mi (percent),Trip Length 4-5 mi (percent),Trip Length 5+ mi (percent),Trip Speed 0-1 mph (percent),Trip Speed 1-2 mph (percent),Trip Speed 2-3 mph (percent),Trip Speed 3-4 mph (percent),Trip Speed 4-5 mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),00: All Day (12am-12am),817,1413,1413,0.4,0.4,1,1,4.279,0.092,0.109,0.150,0.177,0.148,0.094,0.066,0.036,0.023,0.016,0.016,0.023,0.050,0.937,0.037,0.014,0.009,0.003,0.000,0.541,0.356,0.072,0.017,0.012,0.489,0.181,0.105,0.059,0.041,0.125
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),01: 12am (12am-1am),1,5027,5027,0.5,0.5,0,0,1.445,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),04: 3am (3am-4am),1,250,250,0.2,0.2,4,4,3.465,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),05: 4am (4am-5am),24,1673,1673,0.3,0.3,1,1,3.857,0.157,0.105,0.053,0.105,0.158,0.053,0.053,0.000,0.105,0.000,0.053,0.053,0.105,1.000,0.000,0.000,0.000,0.000,0.000,0.684,0.316,0.000,0.000,0.000,0.473,0.211,0.105,0.000,0.053,0.158
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),06: 5am (5am-6am),27,1712,1712,0.5,0.5,1,1,4.446,0.000,0.048,0.283,0.143,0.048,0.143,0.048,0.048,0.000,0.048,0.000,0.143,0.048,0.952,0.000,0.000,0.048,0.000,0.000,0.810,0.143,0.000,0.048,0.000,0.476,0.143,0.143,0.048,0.095,0.095
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),07: 6am (6am-7am),26,1187,1187,0.4,0.4,1,1,1.750,0.150,0.200,0.100,0.150,0.100,0.100,0.100,0.000,0.000,0.000,0.050,0.000,0.050,0.900,0.050,0.050,0.000,0.000,0.000,0.250,0.600,0.100,0.000,0.050,0.850,0.100,0.000,0.000,0.050,0.000
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),08: 7am (7am-8am),5,843,843,0.4,0.4,2,2,1.965,0.000,0.500,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.250,0.500,0.000,0.000,0.250,0.250,0.750,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),09: 8am (8am-9am),13,1770,1770,0.8,0.8,1,1,10.317,0.000,0.100,0.200,0.100,0.200,0.100,0.000,0.000,0.000,0.100,0.000,0.100,0.100,0.900,0.000,0.000,0.000,0.100,0.000,0.700,0.100,0.100,0.100,0.000,0.200,0.100,0.300,0.100,0.000,0.300
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),10: 9am (9am-10am),51,1495,1495,0.4,0.4,1,1,4.638,0.100,0.075,0.075,0.200,0.175,0.075,0.150,0.000,0.050,0.000,0.025,0.000,0.075,0.925,0.050,0.025,0.000,0.000,0.000,0.575,0.350,0.050,0.025,0.000,0.500,0.175,0.100,0.075,0.050,0.100
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),11: 10am (10am-11am),71,1306,1306,0.4,0.4,1,1,4.671,0.054,0.161,0.125,0.248,0.179,0.054,0.036,0.036,0.018,0.018,0.000,0.000,0.071,0.929,0.071,0.000,0.000,0.000,0.000,0.411,0.500,0.071,0.018,0.000,0.429,0.214,0.036,0.071,0.054,0.196
