Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),00: All Day (12am-12am),817,1413,1413,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),01: 12am (12am-1am),1,5027,5027,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),04: 3am (3am-4am),1,250,250,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),05: 4am (4am-5am),24,1673,1673,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),06: 5am (5am-6am),27,1712,1712,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),07: 6am (6am-7am),26,1187,1187,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),08: 7am (7am-8am),5,843,843,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),09: 8am (8am-9am),13,1771,1771,0.8,0.8
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),10: 9am (9am-10am),51,1495,1495,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),11: 10am (10am-11am),71,1306,1306,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),12: 11am (11am-12noon),85,1666,1666,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),13: 12pm (12noon-1pm),134,1736,1736,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),14: 1pm (1pm-2pm),63,1374,1374,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),15: 2pm (2pm-3pm),79,1239,1239,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),16: 3pm (3pm-4pm),63,1103,1103,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),17: 4pm (4pm-5pm),53,1299,1299,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),18: 5pm (5pm-6pm),44,1085,1085,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),19: 6pm (6pm-7pm),41,1150,1150,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),20: 7pm (7pm-8pm),26,1263,1263,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),21: 8pm (8pm-9pm),5,852,852,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),22: 9pm (9pm-10pm),5,1177,1177,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,1: Monday (M-M),00: All Day (12am-12am),829,1483,1483,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,1: Monday (M-M),05: 4am (4am-5am),43,869,869,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,1: Monday (M-M),07: 6am (6am-7am),44,554,554,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,1: Monday (M-M),09: 8am (8am-9am),25,1315,1315,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,1: Monday (M-M),10: 9am (9am-10am),51,787,787,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,1: Monday (M-M),11: 10am (10am-11am),79,1657,1657,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,1: Monday (M-M),12: 11am (11am-12noon),63,761,761,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,1: Monday (M-M),13: 12pm (12noon-1pm),158,2390,2390,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,1: Monday (M-M),14: 1pm (1pm-2pm),73,2206,2206,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,1: Monday (M-M),15: 2pm (2pm-3pm),36,982,982,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,1: Monday (M-M),16: 3pm (3pm-4pm),78,898,898,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,1: Monday (M-M),17: 4pm (4pm-5pm),81,1343,1343,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,1: Monday (M-M),18: 5pm (5pm-6pm),36,1252,1252,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,1: Monday (M-M),19: 6pm (6pm-7pm),9,620,620,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,1: Monday (M-M),20: 7pm (7pm-8pm),43,2338,2338,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,1: Monday (M-M),22: 9pm (9pm-10pm),9,1260,1260,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,2: Tuesday (Tu-Tu),00: All Day (12am-12am),830,1490,1490,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,2: Tuesday (Tu-Tu),05: 4am (4am-5am),8,601,601,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,2: Tuesday (Tu-Tu),06: 5am (5am-6am),35,1871,1871,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,2: Tuesday (Tu-Tu),07: 6am (6am-7am),9,1727,1727,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,2: Tuesday (Tu-Tu),09: 8am (8am-9am),36,2285,2285,1.3,1.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,2: Tuesday (Tu-Tu),10: 9am (9am-10am),53,1256,1256,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,2: Tuesday (Tu-Tu),11: 10am (10am-11am),87,1082,1082,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,2: Tuesday (Tu-Tu),12: 11am (11am-12noon),137,1907,1907,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,2: Tuesday (Tu-Tu),13: 12pm (12noon-1pm),134,1965,1965,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,2: Tuesday (Tu-Tu),14: 1pm (1pm-2pm),53,1084,1084,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,2: Tuesday (Tu-Tu),15: 2pm (2pm-3pm),51,1000,1000,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,2: Tuesday (Tu-Tu),16: 3pm (3pm-4pm),52,1099,1099,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,2: Tuesday (Tu-Tu),17: 4pm (4pm-5pm),69,1553,1553,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,2: Tuesday (Tu-Tu),18: 5pm (5pm-6pm),26,1152,1152,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,2: Tuesday (Tu-Tu),19: 6pm (6pm-7pm),44,1135,1135,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,2: Tuesday (Tu-Tu),20: 7pm (7pm-8pm),25,867,867,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,2: Tuesday (Tu-Tu),21: 8pm (8pm-9pm),8,977,977,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,3: Wednesday (W-W),00: All Day (12am-12am),722,1510,1510,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,3: Wednesday (W-W),05: 4am (4am-5am),17,1349,1349,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,3: Wednesday (W-W),06: 5am (5am-6am),26,762,762,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,3: Wednesday (W-W),07: 6am (6am-7am),9,2045,2045,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,3: Wednesday (W-W),10: 9am (9am-10am),72,1958,1958,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,3: Wednesday (W-W),11: 10am (10am-11am),62,1679,1679,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,3: Wednesday (W-W),12: 11am (11am-12noon),70,2191,2191,0.8,0.8
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,3: Wednesday (W-W),13: 12pm (12noon-1pm),97,1888,1888,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,3: Wednesday (W-W),14: 1pm (1pm-2pm),62,1406,1406,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,3: Wednesday (W-W),15: 2pm (2pm-3pm),158,1171,1171,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,3: Wednesday (W-W),16: 3pm (3pm-4pm),71,1377,1377,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,3: Wednesday (W-W),17: 4pm (4pm-5pm),44,798,798,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,3: Wednesday (W-W),18: 5pm (5pm-6pm),26,930,930,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,3: Wednesday (W-W),19: 6pm (6pm-7pm),8,2376,2376,3.0,3.0
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,4: Thursday (Th-Th),00: All Day (12am-12am),851,1493,1493,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,4: Thursday (Th-Th),05: 4am (4am-5am),19,3463,3463,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,4: Thursday (Th-Th),06: 5am (5am-6am),27,1691,1691,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,4: Thursday (Th-Th),07: 6am (6am-7am),19,855,855,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,4: Thursday (Th-Th),09: 8am (8am-9am),9,715,715,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,4: Thursday (Th-Th),10: 9am (9am-10am),27,1394,1394,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,4: Thursday (Th-Th),11: 10am (10am-11am),72,1214,1214,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,4: Thursday (Th-Th),12: 11am (11am-12noon),96,1745,1745,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,4: Thursday (Th-Th),13: 12pm (12noon-1pm),108,1681,1681,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,4: Thursday (Th-Th),14: 1pm (1pm-2pm),55,1543,1543,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,4: Thursday (Th-Th),15: 2pm (2pm-3pm),80,2188,2188,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,4: Thursday (Th-Th),16: 3pm (3pm-4pm),27,2155,2155,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,4: Thursday (Th-Th),17: 4pm (4pm-5pm),62,964,964,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,4: Thursday (Th-Th),18: 5pm (5pm-6pm),63,1429,1429,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,4: Thursday (Th-Th),19: 6pm (6pm-7pm),109,1141,1141,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,4: Thursday (Th-Th),20: 7pm (7pm-8pm),51,723,723,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,4: Thursday (Th-Th),21: 8pm (8pm-9pm),9,667,667,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,4: Thursday (Th-Th),22: 9pm (9pm-10pm),18,1655,1655,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,5: Friday (F-F),00: All Day (12am-12am),870,1218,1218,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,5: Friday (F-F),04: 3am (3am-4am),10,250,250,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,5: Friday (F-F),05: 4am (4am-5am),19,860,860,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,5: Friday (F-F),06: 5am (5am-6am),28,1206,1206,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,5: Friday (F-F),07: 6am (6am-7am),18,349,349,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,5: Friday (F-F),08: 7am (7am-8am),28,1021,1021,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,5: Friday (F-F),09: 8am (8am-9am),9,2912,2912,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,5: Friday (F-F),10: 9am (9am-10am),46,1784,1784,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,5: Friday (F-F),11: 10am (10am-11am),74,1407,1407,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,5: Friday (F-F),12: 11am (11am-12noon),85,1355,1355,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,5: Friday (F-F),13: 12pm (12noon-1pm),120,952,952,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,5: Friday (F-F),14: 1pm (1pm-2pm),94,1422,1422,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,5: Friday (F-F),15: 2pm (2pm-3pm),114,1059,1059,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,5: Friday (F-F),16: 3pm (3pm-4pm),74,1110,1110,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,5: Friday (F-F),17: 4pm (4pm-5pm),30,1679,1679,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,5: Friday (F-F),18: 5pm (5pm-6pm),38,1393,1393,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,5: Friday (F-F),19: 6pm (6pm-7pm),57,1014,1014,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,5: Friday (F-F),20: 7pm (7pm-8pm),27,1258,1258,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,6: Saturday (Sa-Sa),00: All Day (12am-12am),577,1420,1420,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,6: Saturday (Sa-Sa),05: 4am (4am-5am),18,2912,2912,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,6: Saturday (Sa-Sa),06: 5am (5am-6am),37,2720,2720,1.1,1.1
