,Day Type,Day Part,Avg Trip Time (min),Month,Year,Month.1,Day,Time,Check_Flag,Average of temp,Average of feels_like,Average of temp_min,Average of temp_max,Average of pressure,Average of humidity,Sum of rain_1h,Average of wind_speed,Average of wind_gust
0,0: All Days (M-Su),00: All Day (12am-12am),18.61666667,May,19.0,5.0,0.0,-1.0,1950-1,47.51893350062734,44.97519447929735,44.42125470514439,51.10460476787952,1014.3739021329988,73.23462986198244,143.44000000000005,6.155094102885815,10.310642335766419
1,0: All Days (M-Su),05: 4am (4am-5am),20.9,May,19.0,5.0,0.0,4.0,19504,44.160540540540545,41.684054054054045,41.785135135135135,47.123513513513515,1013.972972972973,80.45945945945945,8.33,4.962162162162163,8.44448275862069
2,0: All Days (M-Su),10: 9am (9am-10am),27.06666667,May,19.0,5.0,0.0,9.0,19509,42.81567567567567,39.94432432432432,40.17135135135135,45.736216216216235,1013.2162162162163,83.16216216216216,6.7,5.323243243243242,8.185625000000002
3,0: All Days (M-Su),11: 10am (10am-11am),14.06666667,May,19.0,5.0,0.0,10.0,195010,42.677428571428585,39.51457142857144,39.94714285714284,45.49942857142858,1014.4571428571429,83.88571428571429,6.07,5.5922857142857145,10.117692307692305
4,0: All Days (M-Su),12: 11am (11am-12noon),20.9,May,19.0,5.0,0.0,11.0,195011,44.346969696969694,41.04818181818181,42.16151515151515,47.02818181818183,1014.6969696969697,79.39393939393939,6.220000000000001,6.6372727272727285,10.064838709677419
5,0: All Days (M-Su),13: 12pm (12noon-1pm),9.966666667,May,19.0,5.0,0.0,12.0,195012,46.348749999999995,43.66249999999998,44.129999999999995,49.299062500000005,1014.9375,76.59375,4.51,6.826874999999999,10.668
6,0: All Days (M-Su),14: 1pm (1pm-2pm),33.6,May,19.0,5.0,0.0,13.0,195013,48.33375,46.098749999999995,45.65093750000001,51.48937500000001,1015.0,72.875,7.49,6.899375,11.101034482758621
7,0: All Days (M-Su),15: 2pm (2pm-3pm),25.5,May,19.0,5.0,0.0,14.0,195014,50.03272727272727,47.55121212121211,47.00909090909091,53.569696969696956,1014.6060606060606,69.36363636363636,3.41,6.872727272727273,11.844583333333333
8,0: All Days (M-Su),16: 3pm (3pm-4pm),12.38333333,May,19.0,5.0,0.0,15.0,195015,50.942187499999996,48.126875,47.42000000000001,55.02531249999999,1015.0,65.4375,2.43,7.937499999999999,12.160967741935485
9,0: All Days (M-Su),17: 4pm (4pm-5pm),8.2,May,19.0,5.0,0.0,16.0,195016,51.971250000000005,49.865312499999995,48.36125000000002,56.302499999999995,1014.90625,63.90625,4.140000000000001,7.3125,12.5275
