,Month,Year,Avg Trip Time (min),Average of temp,Average of feels_like,Average of temp_min,Average of temp_max,Average of pressure,Average of humidity,Sum of rain_1h,Average of wind_speed,Average of wind_gust,is_summer,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,5.0,19.0,17.221428571857146,48.63292857142858,46.856785714285714,45.63964285714285,52.71800000000001,1013.2571428571429,78.79285714285713,1.2200000000000002,4.711571428571429,7.659071428571428,0,0,0,0,0,0,0,1
1,5.0,19.0,14.622222221666666,47.24583333333334,43.71616666666667,43.66225,51.279583333333335,1011.6083333333335,68.875,0.86,9.016166666666665,14.021527777777777,0,1,0,0,0,0,0,0
2,5.0,19.0,19.761904762285717,44.762666666666675,40.465714285714284,42.13442857142858,47.884904761904764,1016.4571428571429,66.1952380952381,0.3642857142857143,8.097714285714288,13.47107142857143,0,0,1,0,0,0,0,0
3,5.0,19.0,23.363636363363636,46.318999999999996,43.70533333333333,42.993363636363625,50.035,1018.5,69.43636363636362,0.2072727272727273,5.188272727272727,8.200545454545454,0,0,0,1,0,0,0,0
4,5.0,19.0,18.003333333700002,49.428533333333334,47.49288333333334,46.45648333333334,52.7014,1013.1383333333333,79.20666666666668,0.417,7.170933333333333,11.451233333333333,0,0,0,0,0,1,0,0
5,5.0,19.0,13.279999999999998,53.282500000000006,51.5825,48.767,58.154500000000006,1014.55,66.5,0.22999999999999998,5.1,7.9485,0,0,0,0,0,0,1,0
6,5.0,19.0,30.733333331500003,48.042833333333334,45.11066666666667,45.507,51.10316666666667,1012.6166666666667,78.96666666666667,1.745,6.234333333333334,12.0035,0,0,0,0,1,0,0,0
7,6.0,19.0,31.844999999,59.78650000000001,58.79175,55.242,64.37525000000001,1012.025,70.35,0.0,6.10575,9.516083333333334,1,0,0,0,0,0,0,1
8,6.0,19.0,19.5983333334,57.35405000000001,55.97895,53.070499999999996,62.159900000000015,1014.165,71.14,5.182,6.61225,11.458316666666668,1,1,0,0,0,0,0,0
9,6.0,19.0,23.483333333666668,57.20077777777778,56.32205555555556,53.904333333333334,60.859388888888894,1014.9611111111111,80.53333333333335,3.4333333333333327,7.093333333333334,10.797796296296298,1,0,1,0,0,0,0,0
10,6.0,19.0,24.507407408888888,55.88733333333333,55.34027777777778,52.495,60.307611111111115,1013.0,88.11666666666666,0.788888888888889,3.7595555555555555,5.885166666666667,1,0,0,1,0,0,0,0
11,6.0,19.0,17.081818182454548,60.001636363636365,59.01981818181817,55.412363636363644,64.65981818181818,1012.8,69.32727272727273,0.028181818181818183,6.199090909090909,11.908863636363636,1,0,0,0,0,1,0,0
12,6.0,19.0,19.711904761928572,59.945190476190476,59.15263265306123,55.204078231292506,64.64271428571428,1011.3496598639457,73.56394557823128,1.9292857142857145,5.4786190476190475,12.15279761904762,1,0,0,0,0,0,1,0
13,6.0,19.0,22.134615384846157,59.562730769230775,59.00323076923076,55.39515384615385,64.157,1008.6961538461538,80.51153846153846,2.925384615384615,5.3612692307692305,8.770153846153846,1,0,0,0,1,0,0,0
14,7.0,19.0,24.178888888,67.4452,67.36186666666667,63.223333333333336,71.71746666666667,1011.5733333333333,72.89333333333335,0.016666666666666666,6.3908000000000005,10.033277777777776,1,0,0,0,0,0,0,1
