,Year,Month,Day,DOW,Day Part,Count
0,2019.0,MAY,1.0,Wed,1:00,0.0
1,2019.0,MAY,1.0,Wed,2:00,1.0
2,2019.0,MAY,1.0,Wed,3:00,0.0
3,2019.0,MAY,1.0,Wed,4:00,0.0
4,2019.0,MAY,1.0,Wed,5:00,11.0
5,2019.0,MAY,1.0,Wed,6:00,2.0
6,2019.0,MAY,1.0,Wed,7:00,2.0
7,2019.0,MAY,1.0,Wed,8:00,7.0
8,2019.0,MAY,1.0,Wed,9:00,10.0
9,2019.0,MAY,1.0,Wed,10:00,8.0
10,2019.0,MAY,1.0,Wed,11:00,19.0
11,2019.0,MAY,1.0,Wed,12:00,25.0
12,2019.0,MAY,1.0,Wed,13:00,17.0
13,2019.0,MAY,1.0,Wed,14:00,16.0
14,2019.0,MAY,1.0,Wed,15:00,25.0
15,2019.0,MAY,1.0,Wed,16:00,20.0
16,2019.0,MAY,1.0,Wed,17:00,18.0
17,2019.0,MAY,1.0,Wed,18:00,10.0
18,2019.0,MAY,1.0,Wed,19:00,9.0
19,2019.0,MAY,1.0,Wed,20:00,6.0
20,2019.0,MAY,1.0,Wed,21:00,1.0
21,2019.0,MAY,1.0,Wed,22:00,1.0
22,2019.0,MAY,1.0,Wed,23:00,0.0
23,2019.0,MAY,1.0,Wed,24:00,0.0
24,2019.0,MAY,1.0,Wed,Total,208.0
25,2019.0,MAY,2.0,Thurs,1:00,0.0
26,2019.0,MAY,2.0,Thurs,2:00,0.0
27,2019.0,MAY,2.0,Thurs,3:00,0.0
28,2019.0,MAY,2.0,Thurs,4:00,0.0
29,2019.0,MAY,2.0,Thurs,5:00,1.0
30,2019.0,MAY,2.0,Thurs,6:00,3.0
31,2019.0,MAY,2.0,Thurs,7:00,0.0
32,2019.0,MAY,2.0,Thurs,8:00,1.0
33,2019.0,MAY,2.0,Thurs,9:00,3.0
34,2019.0,MAY,2.0,Thurs,10:00,12.0
35,2019.0,MAY,2.0,Thurs,11:00,18.0
36,2019.0,MAY,2.0,Thurs,12:00,25.0
37,2019.0,MAY,2.0,Thurs,13:00,19.0
38,2019.0,MAY,2.0,Thurs,14:00,16.0
39,2019.0,MAY,2.0,Thurs,15:00,21.0
40,2019.0,MAY,2.0,Thurs,16:00,22.0
41,2019.0,MAY,2.0,Thurs,17:00,20.0
42,2019.0,MAY,2.0,Thurs,18:00,17.0
43,2019.0,MAY,2.0,Thurs,19:00,21.0
44,2019.0,MAY,2.0,Thurs,20:00,13.0
45,2019.0,MAY,2.0,Thurs,21:00,0.0
46,2019.0,MAY,2.0,Thurs,22:00,4.0
47,2019.0,MAY,2.0,Thurs,23:00,0.0
48,2019.0,MAY,2.0,Thurs,24:00,1.0
49,2019.0,MAY,2.0,Thurs,Total,217.0
50,2019.0,MAY,3.0,Fri,1:00,0.0
51,2019.0,MAY,3.0,Fri,2:00,0.0
52,2019.0,MAY,3.0,Fri,3:00,0.0
53,2019.0,MAY,3.0,Fri,4:00,0.0
54,2019.0,MAY,3.0,Fri,5:00,9.0
55,2019.0,MAY,3.0,Fri,6:00,6.0
56,2019.0,MAY,3.0,Fri,7:00,1.0
57,2019.0,MAY,3.0,Fri,8:00,3.0
58,2019.0,MAY,3.0,Fri,9:00,4.0
59,2019.0,MAY,3.0,Fri,10:00,14.0
60,2019.0,MAY,3.0,Fri,11:00,20.0
61,2019.0,MAY,3.0,Fri,12:00,17.0
62,2019.0,MAY,3.0,Fri,13:00,23.0
63,2019.0,MAY,3.0,Fri,14:00,17.0
64,2019.0,MAY,3.0,Fri,15:00,28.0
65,2019.0,MAY,3.0,Fri,16:00,15.0
66,2019.0,MAY,3.0,Fri,17:00,9.0
67,2019.0,MAY,3.0,Fri,18:00,11.0
68,2019.0,MAY,3.0,Fri,19:00,9.0
69,2019.0,MAY,3.0,Fri,20:00,2.0
70,2019.0,MAY,3.0,Fri,21:00,0.0
71,2019.0,MAY,3.0,Fri,22:00,1.0
72,2019.0,MAY,3.0,Fri,23:00,0.0
73,2019.0,MAY,3.0,Fri,24:00,0.0
74,2019.0,MAY,3.0,Fri,Total,189.0
75,2019.0,MAY,4.0,Sat,1:00,0.0
76,2019.0,MAY,4.0,Sat,2:00,0.0
77,2019.0,MAY,4.0,Sat,3:00,0.0
78,2019.0,MAY,4.0,Sat,4:00,0.0
79,2019.0,MAY,4.0,Sat,5:00,9.0
80,2019.0,MAY,4.0,Sat,6:00,4.0
81,2019.0,MAY,4.0,Sat,7:00,1.0
82,2019.0,MAY,4.0,Sat,8:00,4.0
83,2019.0,MAY,4.0,Sat,9:00,9.0
84,2019.0,MAY,4.0,Sat,10:00,17.0
85,2019.0,MAY,4.0,Sat,11:00,45.0
86,2019.0,MAY,4.0,Sat,12:00,60.0
87,2019.0,MAY,4.0,Sat,13:00,54.0
88,2019.0,MAY,4.0,Sat,14:00,79.0
89,2019.0,MAY,4.0,Sat,15:00,79.0
90,2019.0,MAY,4.0,Sat,16:00,68.0
91,2019.0,MAY,4.0,Sat,17:00,38.0
92,2019.0,MAY,4.0,Sat,18:00,33.0
93,2019.0,MAY,4.0,Sat,19:00,36.0
94,2019.0,MAY,4.0,Sat,20:00,25.0
95,2019.0,MAY,4.0,Sat,21:00,2.0
96,2019.0,MAY,4.0,Sat,22:00,2.0
97,2019.0,MAY,4.0,Sat,23:00,2.0
98,2019.0,MAY,4.0,Sat,24:00,3.0
99,2019.0,MAY,4.0,Sat,Total,570.0
100,2019.0,MAY,5.0,Sun,1:00,0.0
101,2019.0,MAY,5.0,Sun,2:00,0.0
102,2019.0,MAY,5.0,Sun,3:00,0.0
103,2019.0,MAY,5.0,Sun,4:00,1.0
104,2019.0,MAY,5.0,Sun,5:00,34.0
105,2019.0,MAY,5.0,Sun,6:00,20.0
106,2019.0,MAY,5.0,Sun,7:00,1.0
107,2019.0,MAY,5.0,Sun,8:00,1.0
108,2019.0,MAY,5.0,Sun,9:00,17.0
109,2019.0,MAY,5.0,Sun,10:00,22.0
110,2019.0,MAY,5.0,Sun,11:00,34.0
111,2019.0,MAY,5.0,Sun,12:00,52.0
112,2019.0,MAY,5.0,Sun,13:00,53.0
113,2019.0,MAY,5.0,Sun,14:00,50.0
114,2019.0,MAY,5.0,Sun,15:00,55.0
