,Full_Date,Time,Value,Hour,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,weather_main,weather_description
0,2019-05-01,00:00,0,0,47.98,10000.0,21.6,43.92,44.6,51.1,1023,33,8.99,304,11.01,,,,,Clear,sky is clear
1,2019-05-01,1:00,0,1,46.24,10000.0,20.86,40.39,43.63,48.58,1024,34,13.0,304,14.0,,,,,Clear,sky is clear
2,2019-05-01,2:00,1,2,44.19,10000.0,20.41,38.46,39.31,46.6,1026,36,11.01,304,13.0,,,,,Clear,sky is clear
3,2019-05-01,3:00,0,3,43.03,10000.0,16.41,37.02,38.41,45.39,1026,31,11.01,275,13.0,,,,,Clear,sky is clear
4,2019-05-01,4:00,0,4,41.04,10000.0,16.12,34.52,35.6,44.38,1026,33,11.01,304,13.0,,,,,Clear,sky is clear
5,2019-05-01,5:00,11,5,38.88,10000.0,18.34,32.25,31.6,42.82,1027,40,10.0,292,11.99,,,,,Clear,sky is clear
6,2019-05-01,6:00,2,6,37.24,10000.0,18.01,31.23,31.6,41.92,1028,42,8.01,292,10.0,,,,,Clear,sky is clear
7,2019-05-01,7:00,2,7,38.57,10000.0,16.5,33.42,31.62,41.43,1028,37,7.0,292,7.0,,,,,Clear,sky is clear
8,2019-05-01,8:00,7,8,37.17,10000.0,18.45,31.73,29.62,40.3,1029,43,7.0,292,8.01,,,,,Clear,sky is clear
9,2019-05-01,9:00,10,9,34.3,10000.0,20.43,29.77,28.29,39.07,1029,53,5.01,270,5.99,,,,,Clear,sky is clear
10,2019-05-01,10:00,8,10,32.65,10000.0,20.57,27.01,26.62,38.14,1030,57,5.99,292,7.0,,,,,Clear,sky is clear
11,2019-05-01,11:00,19,11,38.08,10000.0,20.14,31.75,35.62,41.16,1031,45,8.99,270,8.99,,,,,Clear,sky is clear
12,2019-05-01,12:00,25,12,40.62,10000.0,18.14,35.35,38.32,44.15,1031,37,8.01,315,8.01,,,,,Clear,sky is clear
13,2019-05-01,13:00,17,13,43.66,10000.0,19.42,40.28,40.08,46.42,1031,35,5.75,0,,,,,,Clear,sky is clear
14,2019-05-01,14:00,16,14,46.36,10000.0,17.65,42.85,43.09,49.42,1030,29,6.91,0,,,,,,Clear,sky is clear
15,2019-05-01,15:00,25,15,48.99,10000.0,16.63,46.47,46.08,52.79,1030,25,5.99,292,5.99,,,,,Clear,sky is clear
16,2019-05-01,16:00,20,16,50.22,10000.0,15.85,46.02,47.39,53.19,1029,23,4.61,0,,,,,,Clear,sky is clear
17,2019-05-01,17:00,18,17,52.75,10000.0,16.88,48.76,49.08,55.42,1028,22,0.0,0,,,,,,Clear,sky is clear
18,2019-05-01,18:00,10,18,54.48,10000.0,15.17,50.52,48.07,58.08,1028,19,0.0,0,,,,,,Clear,sky is clear
19,2019-05-01,19:00,9,19,52.95,10000.0,20.48,49.17,45.19,58.68,1027,26,0.0,0,,,,,,Clear,sky is clear
20,2019-05-01,20:00,6,20,50.27,10000.0,26.38,46.78,44.08,58.08,1026,38,4.0,225,4.0,,,,,Clouds,broken clouds
21,2019-05-01,21:00,1,21,48.45,10000.0,26.56,43.48,43.2,57.29,1027,41,11.99,248,17.0,,,,,Clouds,few clouds
22,2019-05-01,22:00,1,22,47.01,10000.0,29.23,42.71,43.2,50.63,1026,49,8.99,244,13.0,,,,,Clouds,broken clouds
23,2019-05-01,23:00,0,23,46.17,10000.0,29.82,44.44,43.09,48.38,1026,52,4.0,154,8.01,,,,,Clouds,overcast clouds
24,2019-05-02,00:00,1,0,44.92,10000.0,30.79,41.63,43.0,47.43,1026,57,5.99,97,8.01,,,,,Clouds,overcast clouds
25,2019-05-02,1:00,0,1,43.86,10000.0,32.11,42.75,42.19,45.43,1026,63,3.0,259,4.0,,,,,Clouds,few clouds
26,2019-05-02,2:00,0,2,43.27,10000.0,33.06,43.27,42.08,44.51,1025,67,0.0,0,,,,,,Clouds,overcast clouds
27,2019-05-02,3:00,0,3,41.72,10000.0,35.71,41.72,39.69,44.19,1024,79,0.0,0,,0.18,,,,Rain,light rain
28,2019-05-02,4:00,0,4,40.95,10000.0,36.79,36.28,39.31,43.2,1026,85,7.0,27,8.99,0.51,,,,Rain,light rain
29,2019-05-02,5:00,1,5,40.33,10000.0,36.48,40.33,39.0,41.72,1025,86,1.99,335,5.01,0.51,,,,Rain,light rain
